update,alpha,constraint_C
0,1.0453999999999999,0.474
1,1.0543999999999998,0.11
2,1.0687999999999998,0.164
3,1.0993999999999997,0.326
4,1.1637999999999997,0.664
5,1.2175999999999998,0.558
6,1.2455999999999998,0.3
7,1.2701999999999998,0.266
8,1.2735999999999998,0.054
9,1.2757999999999998,0.042
10,1.2843999999999998,0.106
11,1.2849999999999997,0.026
12,1.2925999999999997,0.096
13,1.2965999999999998,0.06
14,1.3041999999999998,0.096
15,1.3103999999999998,0.082
16,1.3137999999999999,0.054
17,1.3194,0.076
18,1.3279999999999998,0.106
19,1.3314,0.054
20,1.3423999999999998,0.13
21,1.3451999999999997,0.048
22,1.3545999999999998,0.114
23,1.3565999999999998,0.04
24,1.3645999999999998,0.1
25,1.3653999999999997,0.028
26,1.3721999999999996,0.088
27,1.3753999999999997,0.052
28,1.3807999999999998,0.074
29,1.3837999999999997,0.05
30,1.3817999999999997,0.0
31,1.3831999999999998,0.034
32,1.3869999999999998,0.058
33,1.3881999999999999,0.032
34,1.3931999999999998,0.07
35,1.3955999999999997,0.044
36,1.4047999999999998,0.112
37,1.4089999999999998,0.062
38,1.4127999999999998,0.058
39,1.4151999999999998,0.044
40,1.4257999999999997,0.126
41,1.4287999999999996,0.05
42,1.4375999999999995,0.108
43,1.4409999999999996,0.054
44,1.4411999999999996,0.022
45,1.4463999999999997,0.072
46,1.4529999999999996,0.086
47,1.4543999999999997,0.034
48,1.4629999999999996,0.106
49,1.4669999999999996,0.06
50,1.4717999999999996,0.068
51,1.4753999999999996,0.056
52,1.4805999999999997,0.072
53,1.4837999999999998,0.052
54,1.4917999999999998,0.1
55,1.4947999999999997,0.05
56,1.5019999999999998,0.092
57,1.5037999999999998,0.038
58,1.5081999999999998,0.064
59,1.5139999999999998,0.078
60,1.5213999999999999,0.094
61,1.5237999999999998,0.044
62,1.5315999999999999,0.098
63,1.535,0.054
64,1.5386,0.056
65,1.539,0.024
66,1.5412,0.042
67,1.5392,0.0
68,1.545,0.078
69,1.5493999999999999,0.064
70,1.5501999999999998,0.028
71,1.5571999999999997,0.09
72,1.5631999999999997,0.08
73,1.5651999999999997,0.04
74,1.5705999999999998,0.074
75,1.5745999999999998,0.06
76,1.5809999999999997,0.084
77,1.5843999999999998,0.054
78,1.5871999999999997,0.048
79,1.5913999999999997,0.062
80,1.5983999999999996,0.09
81,1.6025999999999996,0.062
82,1.6083999999999996,0.078
83,1.6085999999999996,0.022
84,1.6147999999999996,0.082
85,1.6187999999999996,0.06
86,1.6251999999999995,0.084
87,1.6319999999999995,0.088
88,1.6379999999999995,0.08
89,1.6427999999999994,0.068
90,1.6461999999999994,0.054
91,1.6467999999999994,0.026
92,1.6563999999999994,0.116
93,1.6611999999999993,0.068
94,1.6667999999999994,0.076
95,1.6711999999999994,0.064
96,1.6767999999999994,0.076
97,1.6803999999999994,0.056
98,1.6863999999999995,0.08
99,1.6893999999999993,0.05
100,1.6949999999999994,0.076
101,1.6981999999999995,0.052
102,1.7047999999999994,0.086
103,1.7089999999999994,0.062
104,1.7119999999999993,0.05
105,1.7155999999999993,0.056
106,1.7199999999999993,0.064
107,1.7243999999999993,0.064
108,1.7313999999999992,0.09
109,1.7349999999999992,0.056
110,1.7391999999999992,0.062
111,1.7455999999999992,0.084
112,1.7529999999999992,0.094
113,1.7577999999999991,0.068
114,1.7651999999999992,0.094
115,1.770199999999999,0.07
116,1.776599999999999,0.084
117,1.7817999999999992,0.072
118,1.784799999999999,0.05
119,1.785199999999999,0.024
120,1.790799999999999,0.076
121,1.794599999999999,0.058
122,1.802799999999999,0.102
123,1.803399999999999,0.026
124,1.807199999999999,0.058
125,1.813799999999999,0.086
126,1.823199999999999,0.114
127,1.8263999999999991,0.052
128,1.833199999999999,0.088
129,1.839599999999999,0.084
130,1.846999999999999,0.094
131,1.847599999999999,0.026
132,1.854199999999999,0.086
133,1.859599999999999,0.074
134,1.865999999999999,0.084
135,1.871399999999999,0.074
136,1.8809999999999991,0.116
137,1.883799999999999,0.048
138,1.886399999999999,0.046
139,1.886599999999999,0.022
140,1.896799999999999,0.122
141,1.896799999999999,0.02
142,1.900799999999999,0.06
143,1.902199999999999,0.034
144,1.910599999999999,0.104
145,1.912999999999999,0.044
146,1.920999999999999,0.1
147,1.924799999999999,0.058
148,1.931199999999999,0.084
149,1.935399999999999,0.062
150,1.941199999999999,0.078
151,1.948599999999999,0.094
152,1.952599999999999,0.06
153,1.957399999999999,0.068
154,1.9637999999999989,0.084
155,1.964999999999999,0.032
156,1.9739999999999989,0.11
157,1.977399999999999,0.054
158,1.981799999999999,0.064
159,1.9859999999999989,0.062
160,1.9883999999999988,0.044
161,1.9901999999999989,0.038
162,1.999399999999999,0.112
163,1.999599999999999,0.022
164,2.0071999999999988,0.096
165,2.010799999999999,0.056
166,2.014399999999999,0.056
167,2.014799999999999,0.024
168,2.021999999999999,0.092
169,2.022599999999999,0.026
170,2.0281999999999987,0.076
171,2.0301999999999985,0.04
172,2.0305999999999984,0.024
173,2.032599999999998,0.04
174,2.040399999999998,0.098
175,2.041799999999998,0.034
176,2.0479999999999983,0.082
177,2.052999999999998,0.07
178,2.058599999999998,0.076
179,2.063799999999998,0.072
180,2.071799999999998,0.1
181,2.075999999999998,0.062
182,2.082399999999998,0.084
183,2.085599999999998,0.052
184,2.091399999999998,0.078
185,2.095399999999998,0.06
186,2.100199999999998,0.068
187,2.104199999999998,0.06
188,2.1133999999999977,0.112
189,2.1187999999999976,0.074
190,2.1207999999999974,0.04
191,2.1255999999999973,0.068
192,2.1321999999999974,0.086
193,2.1337999999999973,0.036
194,2.1409999999999973,0.092
195,2.1439999999999975,0.05
196,2.1499999999999972,0.08
197,2.1525999999999974,0.046
198,2.1577999999999973,0.072
199,2.163199999999997,0.074
200,2.167599999999997,0.064
201,2.171199999999997,0.056
202,2.1775999999999973,0.084
203,2.1801999999999975,0.046
204,2.1877999999999975,0.096
205,2.1925999999999974,0.068
206,2.1975999999999973,0.07
207,2.2017999999999973,0.062
208,2.2081999999999975,0.084
209,2.2091999999999974,0.03
210,2.2161999999999975,0.09
211,2.2195999999999976,0.054
212,2.2267999999999977,0.092
213,2.233199999999998,0.084
214,2.2385999999999977,0.074
215,2.2399999999999975,0.034
216,2.2469999999999977,0.09
217,2.249999999999998,0.05
218,2.257599999999998,0.096
219,2.2595999999999976,0.04
220,2.2669999999999977,0.094
221,2.2705999999999977,0.056
222,2.273399999999998,0.048
223,2.273199999999998,0.018
224,2.279599999999998,0.084
225,2.283999999999998,0.064
226,2.289999999999998,0.08
227,2.293799999999998,0.058
228,2.296199999999998,0.044
229,2.300599999999998,0.064
230,2.305199999999998,0.066
231,2.3065999999999978,0.034
232,2.314199999999998,0.096
233,2.318399999999998,0.062
234,2.3229999999999977,0.066
235,2.325599999999998,0.046
236,2.333399999999998,0.098
237,2.341999999999998,0.106
238,2.350399999999998,0.104
239,2.352799999999998,0.044
240,2.358399999999998,0.076
241,2.362399999999998,0.06
242,2.369599999999998,0.092
243,2.373999999999998,0.064
244,2.3797999999999977,0.078
245,2.382799999999998,0.05
246,2.390599999999998,0.098
247,2.393799999999998,0.052
248,2.399999999999998,0.082
249,2.4027999999999983,0.048
250,2.408799999999998,0.08
251,2.410399999999998,0.036
252,2.417399999999998,0.09
253,2.422199999999998,0.068
254,2.425999999999998,0.058
255,2.426799999999998,0.028
256,2.434999999999998,0.102
257,2.4399999999999977,0.07
258,2.4447999999999976,0.068
259,2.4479999999999977,0.052
260,2.4517999999999978,0.058
261,2.4573999999999976,0.076
262,2.4641999999999977,0.088
263,2.4645999999999977,0.024
264,2.4665999999999975,0.04
265,2.4677999999999973,0.032
266,2.477799999999997,0.12
267,2.478999999999997,0.032
268,2.484599999999997,0.076
269,2.4857999999999967,0.032
270,2.4889999999999968,0.052
271,2.491599999999997,0.046
272,2.496399999999997,0.068
