timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-40.16,47.35,0.0621,30.6,nan,nan,nan,nan
20000,30.48,43.01,0.2774,136.1,nan,nan,nan,nan
30000,17.69,149.28,0.0471,13.6,nan,nan,nan,nan
40000,15.88,45.84,0.0410,20.3,nan,nan,nan,nan
50000,58.27,54.49,0.0305,15.2,nan,nan,nan,nan
60000,62.21,35.95,0.0431,17.4,nan,nan,nan,nan
70000,66.81,16.88,0.0326,16.3,nan,nan,nan,nan
80000,130.15,114.13,0.0488,13.0,nan,nan,nan,nan
90000,75.47,20.89,0.0355,17.7,nan,nan,nan,nan
100000,113.44,149.12,0.0503,16.1,nan,nan,nan,nan
110000,80.67,104.69,0.0511,20.0,nan,nan,nan,nan
120000,135.24,103.47,0.0525,20.3,nan,nan,nan,nan
130000,205.25,90.13,0.0824,27.8,nan,nan,nan,nan
140000,147.91,152.13,0.0609,13.0,nan,nan,nan,nan
150000,202.88,103.36,0.0488,16.7,nan,nan,nan,nan
160000,242.04,24.59,0.0565,20.5,nan,nan,nan,nan
170000,180.18,141.45,0.0468,13.4,nan,nan,nan,nan
180000,184.38,123.02,0.0591,17.2,nan,nan,nan,nan
190000,182.30,103.75,0.0606,18.6,nan,nan,nan,nan
200000,247.14,66.86,0.0606,14.0,nan,nan,nan,nan
210000,233.36,70.69,0.0692,19.8,nan,nan,nan,nan
220000,196.74,125.49,0.0474,13.9,nan,nan,nan,nan
230000,214.32,79.59,0.0511,15.1,nan,nan,nan,nan
240000,194.76,82.47,0.0565,18.1,nan,nan,nan,nan
250000,223.58,81.93,0.0839,23.3,nan,nan,nan,nan
260000,234.16,97.96,0.0606,15.3,nan,nan,nan,nan
270000,251.98,51.48,0.0547,13.0,nan,nan,nan,nan
280000,240.44,77.42,0.0581,14.9,nan,nan,nan,nan
290000,210.51,103.95,0.0568,13.0,nan,nan,nan,nan
300000,226.57,76.55,0.0582,15.2,nan,nan,nan,nan
