timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-19.78,67.87,0.0686,32.2,nan,nan,nan,nan
20000,12.29,80.05,0.0655,32.3,nan,nan,nan,nan
30000,17.98,33.63,0.0205,10.3,nan,nan,nan,nan
40000,-146.34,62.88,0.0052,2.0,nan,nan,nan,nan
50000,49.82,91.72,0.0365,12.6,nan,nan,nan,nan
60000,86.28,114.44,0.0326,7.9,nan,nan,nan,nan
70000,21.53,95.11,0.0636,16.8,nan,nan,nan,nan
80000,50.50,73.24,0.0455,16.1,nan,nan,nan,nan
90000,70.23,66.89,0.0226,9.9,nan,nan,nan,nan
100000,163.24,97.88,0.0397,13.0,nan,nan,nan,nan
110000,144.52,133.77,0.0454,12.3,nan,nan,nan,nan
120000,138.19,137.45,0.0052,2.2,nan,nan,nan,nan
130000,149.05,115.29,0.0356,8.6,nan,nan,nan,nan
140000,249.67,74.17,0.0523,10.4,nan,nan,nan,nan
150000,256.80,65.32,0.0357,7.1,nan,nan,nan,nan
160000,241.73,86.49,0.0732,23.3,nan,nan,nan,nan
170000,207.67,108.53,0.0169,2.8,nan,nan,nan,nan
180000,260.09,41.18,0.0548,12.0,nan,nan,nan,nan
190000,270.92,42.11,0.0523,11.7,nan,nan,nan,nan
200000,258.78,67.54,0.0820,16.7,nan,nan,nan,nan
210000,273.31,22.44,0.0556,12.5,nan,nan,nan,nan
220000,275.55,14.78,0.0382,7.7,nan,nan,nan,nan
230000,272.43,22.82,0.0467,9.9,nan,nan,nan,nan
240000,269.02,37.44,0.0566,11.8,nan,nan,nan,nan
250000,267.32,51.91,0.0115,2.3,nan,nan,nan,nan
260000,256.79,80.31,0.0321,6.2,nan,nan,nan,nan
270000,249.33,73.20,0.0683,14.3,nan,nan,nan,nan
280000,260.08,57.28,0.0376,7.8,nan,nan,nan,nan
290000,272.11,38.01,0.0423,8.4,nan,nan,nan,nan
300000,267.17,29.41,0.0408,9.9,nan,nan,nan,nan
