step,alpha,constraint_C
123000,0.3690,0.0240
123500,0.3632,0.0420
124000,0.3602,0.0700
124500,0.3574,0.0720
125000,0.3536,0.0620
125500,0.3498,0.0620
126000,0.3452,0.0540
126500,0.3410,0.0580
127000,0.3366,0.0560
127500,0.3338,0.0720
128000,0.3294,0.0560
128500,0.3254,0.0600
129000,0.3212,0.0580
129500,0.3180,0.0680
130000,0.3122,0.0420
130500,0.3088,0.0660
131000,0.3026,0.0380
131500,0.2990,0.0640
132000,0.2968,0.0780
132500,0.2920,0.0520
133000,0.2898,0.0780
133500,0.2864,0.0660
134000,0.2830,0.0660
134500,0.2762,0.0320
135000,0.2712,0.0500
135500,0.2736,0.1240
136000,0.2722,0.0860
136500,0.2656,0.0340
137000,0.2610,0.0540
137500,0.2554,0.0440
138000,0.2526,0.0720
138500,0.2482,0.0560
139000,0.2446,0.0640
139500,0.2418,0.0720
140000,0.2426,0.1080
140500,0.2364,0.0380
141000,0.2318,0.0540
141500,0.2372,0.1540
142000,0.2312,0.0400
142500,0.2212,0.0000
143000,0.2150,0.0380
143500,0.2074,0.0240
144000,0.2030,0.0560
144500,0.1986,0.0560
145000,0.1968,0.0820
145500,0.2012,0.1440
146000,0.1974,0.0620
146500,0.1928,0.0540
147000,0.1866,0.0380
147500,0.1854,0.0880
148000,0.1804,0.0500
148500,0.1782,0.0780
149000,0.1730,0.0480
149500,0.1690,0.0600
150000,0.1634,0.0440
150500,0.1606,0.0720
151000,0.1554,0.0480
151500,0.1514,0.0600
152000,0.1474,0.0600
152500,0.1394,0.0200
153000,0.1404,0.1100
153500,0.1360,0.0560
154000,0.1328,0.0680
154500,0.1310,0.0820
155000,0.1244,0.0340
155500,0.1236,0.0920
156000,0.1202,0.0660
156500,0.1170,0.0680
157000,0.1132,0.0620
157500,0.1096,0.0640
158000,0.1056,0.0600
158500,0.1104,0.1480
159000,0.1106,0.1020
159500,0.1080,0.0740
160000,0.1010,0.0300
160500,0.0940,0.0300
161000,0.0910,0.0700
161500,0.0882,0.0720
162000,0.0874,0.0920
162500,0.0844,0.0700
163000,0.0744,0.0000
163500,0.0700,0.0560
164000,0.0664,0.0640
164500,0.0628,0.0640
165000,0.0580,0.0520
165500,0.0540,0.0600
166000,0.0558,0.1180
166500,0.0550,0.0920
167000,0.0518,0.0680
167500,0.0504,0.0860
168000,0.0474,0.0700
168500,0.0422,0.0480
169000,0.0372,0.0500
169500,0.0338,0.0660
170000,0.0322,0.0840
170500,0.0280,0.0580
171000,0.0278,0.0980
171500,0.0242,0.0640
172000,0.0190,0.0480
172500,0.0160,0.0700
173000,0.0180,0.1200
173500,0.0160,0.0800
174000,0.0142,0.0820
174500,0.0068,0.0260
175000,0.0062,0.0940
175500,0.0014,0.0520
176000,0.0000,0.0600
176500,0.0000,0.0980
177000,0.0000,0.0460
177500,0.0000,0.0560
178000,0.0000,0.0940
178500,0.0000,0.0700
179000,0.0000,0.0800
179500,0.0000,0.0260
180000,0.0000,0.0760
180500,0.0000,0.0600
181000,0.0000,0.0240
181500,0.0000,0.0540
182000,0.0000,0.0280
182500,0.0000,0.0420
183000,0.0000,0.0880
183500,0.0000,0.0840
184000,0.0000,0.1000
184500,0.0000,0.0640
185000,0.0000,0.0360
185500,0.0000,0.0540
186000,0.0000,0.0820
186500,0.0000,0.0280
187000,0.0000,0.0820
187500,0.0000,0.0680
188000,0.0000,0.0500
188500,0.0000,0.0500
189000,0.0000,0.0620
189500,0.0000,0.0680
190000,0.0000,0.0820
190500,0.0000,0.0500
191000,0.0000,0.0540
191500,0.0000,0.0960
192000,0.0000,0.0220
192500,0.0000,0.0860
193000,0.0000,0.0280
193500,0.0000,0.0560
194000,0.0000,0.0760
194500,0.0000,0.0640
195000,0.0000,0.0840
195500,0.0000,0.0940
196000,0.0000,0.0560
196500,0.0000,0.0000
197000,0.0000,0.0520
197500,0.0000,0.0620
198000,0.0000,0.0780
198500,0.0000,0.0580
199000,0.0000,0.0640
199500,0.0000,0.0760
200000,0.0000,0.0680
200500,0.0000,0.0800
201000,0.0000,0.0640
201500,0.0000,0.0500
202000,0.0000,0.0240
202500,0.0000,0.0560
203000,0.0000,0.0620
203500,0.0000,0.0220
204000,0.0000,0.0700
204500,0.0000,0.0520
205000,0.0000,0.0600
205500,0.0000,0.0620
206000,0.0000,0.0660
206500,0.0000,0.0320
207000,0.0000,0.0500
207500,0.0000,0.0580
208000,0.0000,0.0740
208500,0.0000,0.0220
209000,0.0000,0.0680
209500,0.0000,0.0500
210000,0.0000,0.0780
210500,0.0000,0.0700
211000,0.0000,0.0520
211500,0.0000,0.0680
212000,0.0000,0.0540
212500,0.0000,0.0740
213000,0.0000,0.0800
213500,0.0000,0.0480
214000,0.0000,0.0500
214500,0.0000,0.0760
215000,0.0000,0.0580
215500,0.0000,0.0980
216000,0.0000,0.0680
216500,0.0000,0.0540
217000,0.0000,0.0500
217500,0.0000,0.0700
218000,0.0000,0.0240
218500,0.0000,0.0540
219000,0.0000,0.0320
219500,0.0000,0.0400
220000,0.0000,0.0480
220500,0.0000,0.0440
221000,0.0000,0.0740
221500,0.0000,0.0400
222000,0.0000,0.0400
222500,0.0000,0.0420
223000,0.0000,0.0780
223500,0.0000,0.0180
224000,0.0000,0.0640
224500,0.0000,0.0640
225000,0.0000,0.0280
225500,0.0000,0.0260
226000,0.0000,0.0460
226500,0.0000,0.0640
227000,0.0000,0.0260
227500,0.0000,0.0740
228000,0.0000,0.0780
228500,0.0000,0.0260
229000,0.0000,0.0700
229500,0.0000,0.0480
230000,0.0000,0.0520
230500,0.0000,0.0740
231000,0.0000,0.0440
231500,0.0000,0.0600
232000,0.0000,0.0720
232500,0.0000,0.0020
233000,0.0000,0.0240
233500,0.0000,0.0560
234000,0.0000,0.0440
234500,0.0000,0.0500
235000,0.0000,0.0480
235500,0.0000,0.0200
236000,0.0000,0.0540
236500,0.0000,0.0480
237000,0.0000,0.0460
237500,0.0000,0.0460
238000,0.0000,0.0460
238500,0.0000,0.0520
239000,0.0000,0.0480
239500,0.0000,0.0220
240000,0.0000,0.0500
240500,0.0000,0.0820
241000,0.0000,0.0500
241500,0.0000,0.0520
242000,0.0000,0.0440
242500,0.0000,0.0500
243000,0.0000,0.0700
243500,0.0000,0.0780
244000,0.0000,0.0480
244500,0.0000,0.0500
245000,0.0000,0.0840
245500,0.0000,0.0260
246000,0.0000,0.0760
246500,0.0000,0.0540
247000,0.0006,0.1060
247500,0.0002,0.0960
248000,0.0000,0.0500
248500,0.0000,0.0740
249000,0.0000,0.0520
249500,0.0000,0.0540
250000,0.0000,0.0780
250500,0.0000,0.0520
251000,0.0000,0.0600
251500,0.0012,0.1120
252000,0.0000,0.0540
252500,0.0000,0.0560
253000,0.0000,0.0540
253500,0.0000,0.0260
254000,0.0000,0.0580
254500,0.0036,0.1360
255000,0.0000,0.0580
255500,0.0000,0.0560
256000,0.0000,0.0740
256500,0.0000,0.0420
257000,0.0000,0.0820
257500,0.0000,0.0520
258000,0.0000,0.0920
258500,0.0000,0.0500
259000,0.0000,0.0780
259500,0.0000,0.0620
260000,0.0000,0.0440
260500,0.0004,0.1040
261000,0.0000,0.0820
261500,0.0000,0.0760
262000,0.0000,0.0780
262500,0.0000,0.0880
263000,0.0000,0.0440
263500,0.0000,0.0920
264000,0.0000,0.0460
264500,0.0000,0.0760
265000,0.0000,0.0620
265500,0.0000,0.0520
266000,0.0000,0.0820
266500,0.0000,0.0220
267000,0.0000,0.0980
267500,0.0006,0.1060
268000,0.0000,0.0460
268500,0.0000,0.0680
269000,0.0000,0.0880
269500,0.0000,0.0960
270000,0.0000,0.0720
270500,0.0004,0.1040
271000,0.0000,0.0440
271500,0.0000,0.0740
272000,0.0000,0.0580
272500,0.0000,0.0500
273000,0.0000,0.0700
273500,0.0000,0.0520
274000,0.0000,0.0740
274500,0.0000,0.0780
275000,0.0000,0.0720
275500,0.0000,0.0460
276000,0.0000,0.0700
276500,0.0000,0.0620
277000,0.0000,0.0700
277500,0.0000,0.0520
278000,0.0000,0.0560
278500,0.0000,0.0820
279000,0.0000,0.0280
279500,0.0000,0.0720
280000,0.0000,0.0700
280500,0.0000,0.0620
281000,0.0006,0.1060
281500,0.0000,0.0700
282000,0.0000,0.0480
282500,0.0000,0.0800
283000,0.0000,0.0940
283500,0.0000,0.0580
284000,0.0000,0.0720
284500,0.0000,0.0780
285000,0.0000,0.0440
285500,0.0000,0.0800
286000,0.0000,0.0540
286500,0.0000,0.0720
287000,0.0000,0.0600
287500,0.0000,0.0720
288000,0.0000,0.0460
288500,0.0000,0.0820
289000,0.0000,0.0640
289500,0.0000,0.0660
290000,0.0000,0.0660
290500,0.0000,0.0720
291000,0.0000,0.0760
291500,0.0000,0.0540
292000,0.0000,0.0640
292500,0.0000,0.0780
293000,0.0000,0.0660
293500,0.0000,0.0540
294000,0.0000,0.0960
294500,0.0000,0.0460
295000,0.0000,0.0580
295500,0.0000,0.0900
296000,0.0000,0.0620
296500,0.0000,0.0740
297000,0.0000,0.0480
297500,0.0000,0.0660
298000,0.0000,0.0860
298500,0.0000,0.0480
299000,0.0000,0.0880
299500,0.0000,0.0840
300000,0.0000,0.0960
