timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,1.94,25.93,0.0476,23.8,nan,nan,nan,nan
20000,49.93,136.40,0.0090,3.4,nan,nan,nan,nan
30000,55.03,158.77,0.0281,7.8,nan,nan,nan,nan
40000,100.29,167.69,0.0341,5.7,nan,nan,nan,nan
50000,159.81,135.55,0.0505,10.6,nan,nan,nan,nan
60000,214.49,75.68,0.0301,9.7,nan,nan,nan,nan
70000,226.30,65.77,0.0532,14.2,nan,nan,nan,nan
80000,222.66,82.36,0.0447,11.0,nan,nan,nan,nan
90000,232.03,72.54,0.0310,6.9,nan,nan,nan,nan
100000,263.28,14.81,0.0437,8.6,nan,nan,nan,nan
110000,254.22,32.46,0.0487,10.5,nan,nan,nan,nan
120000,253.55,50.54,0.0360,8.2,nan,nan,nan,nan
130000,247.44,53.41,0.0520,11.4,nan,nan,nan,nan
140000,260.12,36.74,0.0551,11.8,nan,nan,nan,nan
150000,258.61,42.33,0.0397,8.3,nan,nan,nan,nan
160000,275.66,16.99,0.0572,11.5,nan,nan,nan,nan
170000,277.68,17.46,0.0236,4.8,nan,nan,nan,nan
180000,266.99,30.74,0.0445,8.5,nan,nan,nan,nan
190000,269.61,23.43,0.0342,6.8,nan,nan,nan,nan
200000,270.12,21.84,0.0562,10.9,nan,nan,nan,nan
210000,256.64,50.44,0.0259,5.2,nan,nan,nan,nan
220000,272.73,19.57,0.0274,4.9,nan,nan,nan,nan
230000,279.24,16.68,0.0339,6.4,nan,nan,nan,nan
240000,272.69,24.91,0.0471,8.5,nan,nan,nan,nan
250000,282.41,15.81,0.0197,3.7,nan,nan,nan,nan
260000,267.14,66.01,0.0589,10.4,nan,nan,nan,nan
270000,270.47,15.81,0.0662,12.7,nan,nan,nan,nan
280000,277.85,18.84,0.0428,8.2,nan,nan,nan,nan
290000,279.01,20.18,0.0445,8.4,nan,nan,nan,nan
300000,274.72,19.57,0.0422,8.5,nan,nan,nan,nan
