timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-1179.82,4.49,0.0000,0.0,0.0000,200.0,98,2
20000,-505.98,1.53,0.0000,0.0,1.0000,101.2,0,100
30000,-363.69,1.01,0.0113,2.3,1.0000,67.2,0,100
40000,-358.72,1.63,0.0009,0.2,1.0000,68.8,0,100
50000,-399.95,60.38,0.0000,0.0,1.0000,99.4,0,100
60000,-352.00,0.86,0.0036,0.7,1.0000,65.8,0,100
70000,-353.87,0.83,0.0000,0.0,0.0000,200.0,0,100
80000,-350.60,1.63,0.0066,1.3,1.0000,69.2,0,100
90000,-348.74,0.86,0.0100,2.0,1.0000,69.0,0,100
100000,-347.39,1.31,0.0000,0.0,1.0000,74.0,0,100
110000,-344.28,0.82,0.0016,0.3,1.0000,69.7,0,100
120000,-342.87,0.69,0.0000,0.0,1.0000,64.0,0,100
130000,-343.29,0.68,0.0000,0.0,1.0000,64.0,0,100
140000,-344.25,0.72,0.0000,0.0,1.0000,68.0,0,100
150000,-344.20,1.16,0.0000,0.0,1.0000,66.8,0,100
