step,alpha,constraint_C
500,4.9000,0.0000
1000,4.8000,0.0000
1500,4.7000,0.0000
2000,4.6000,0.0000
2500,4.5000,0.0000
3000,4.4000,0.0000
3500,4.3000,0.0000
4000,4.3000,0.0100
4500,5.4800,0.1280
5000,6.9600,0.1580
5500,7.7000,0.0840
6000,8.5400,0.0940
6500,9.3400,0.0900
7000,9.8600,0.0620
7500,10.2600,0.0500
8000,10.7600,0.0600
8500,11.0600,0.0400
9000,11.4200,0.0460
9500,11.6800,0.0360
10000,11.7400,0.0160
10500,11.8200,0.0180
11000,11.8200,0.0100
11500,11.9000,0.0180
12000,11.9000,0.0100
12500,11.9600,0.0160
13000,11.9600,0.0100
13500,12.0200,0.0160
14000,12.0000,0.0080
14500,12.0400,0.0140
15000,12.0200,0.0080
15500,12.0600,0.0140
16000,12.0400,0.0080
16500,12.1000,0.0160
17000,12.1600,0.0160
17500,12.1600,0.0100
18000,12.1800,0.0120
18500,12.2000,0.0120
19000,12.2400,0.0140
19500,12.3200,0.0180
20000,12.3200,0.0100
20500,12.4000,0.0180
21000,12.3800,0.0080
21500,12.4400,0.0160
22000,12.4600,0.0120
22500,12.5400,0.0180
23000,12.5600,0.0120
23500,12.6400,0.0180
24000,12.6600,0.0120
24500,12.7000,0.0140
25000,12.7000,0.0100
25500,12.7400,0.0140
26000,12.7400,0.0100
26500,12.7800,0.0140
27000,12.7600,0.0080
27500,12.8000,0.0140
28000,12.8200,0.0120
28500,12.8600,0.0140
29000,12.8800,0.0120
29500,12.9400,0.0160
30000,12.9200,0.0080
30500,12.9800,0.0160
31000,12.9600,0.0080
31500,12.9800,0.0120
32000,13.0000,0.0120
32500,13.0800,0.0180
33000,13.1000,0.0120
33500,13.1600,0.0160
34000,13.1400,0.0080
34500,13.2000,0.0160
35000,13.2000,0.0100
35500,13.2400,0.0140
36000,13.2200,0.0080
36500,13.2600,0.0140
37000,13.2600,0.0100
37500,13.3000,0.0140
38000,13.3000,0.0100
38500,13.3200,0.0120
39000,13.3000,0.0080
39500,13.3600,0.0160
40000,13.3400,0.0080
40500,13.3800,0.0140
41000,13.3800,0.0100
41500,13.4200,0.0140
42000,13.4400,0.0120
42500,13.5000,0.0160
43000,13.5200,0.0120
43500,13.5600,0.0140
44000,13.5600,0.0100
44500,13.6200,0.0160
45000,13.6200,0.0100
45500,13.6600,0.0140
46000,13.6400,0.0080
46500,13.6600,0.0120
47000,13.6800,0.0120
47500,13.7200,0.0140
48000,13.7000,0.0080
48500,13.7600,0.0160
49000,13.7600,0.0100
49500,13.8000,0.0140
50000,13.8000,0.0100
50500,13.8600,0.0160
51000,13.8000,0.0040
51500,13.8400,0.0140
52000,13.8400,0.0100
52500,13.8800,0.0140
53000,13.8600,0.0080
53500,13.9000,0.0140
54000,13.9000,0.0100
54500,13.9200,0.0120
55000,13.9200,0.0100
55500,13.9400,0.0120
56000,13.9400,0.0100
56500,14.0000,0.0160
57000,14.0000,0.0100
57500,14.0400,0.0140
58000,14.0200,0.0080
58500,14.1000,0.0180
59000,14.1200,0.0120
59500,14.1400,0.0120
60000,14.1200,0.0080
60500,14.1400,0.0120
61000,14.1400,0.0100
61500,14.1200,0.0080
62000,14.1000,0.0080
62500,14.1200,0.0120
63000,14.1200,0.0100
63500,14.1000,0.0080
64000,14.0600,0.0060
64500,14.1200,0.0160
65000,14.1200,0.0100
65500,14.1800,0.0160
66000,14.1400,0.0060
66500,14.1800,0.0140
67000,14.1800,0.0100
67500,14.2200,0.0140
68000,14.1600,0.0040
68500,14.2400,0.0180
69000,14.2600,0.0120
69500,14.2600,0.0100
70000,14.2400,0.0080
70500,14.3200,0.0180
71000,14.3400,0.0120
71500,14.3600,0.0120
72000,14.3800,0.0120
72500,14.4800,0.0200
73000,14.4200,0.0040
73500,14.4600,0.0140
74000,14.4400,0.0080
74500,14.4800,0.0140
75000,14.4600,0.0080
75500,14.5000,0.0140
76000,14.4600,0.0060
76500,14.5000,0.0140
77000,14.4000,0.0000
77500,14.3400,0.0040
78000,14.3200,0.0080
78500,14.3600,0.0140
79000,14.3600,0.0100
79500,14.4000,0.0140
80000,14.3400,0.0040
80500,14.3200,0.0080
81000,14.3400,0.0120
81500,14.3400,0.0100
82000,14.3400,0.0100
82500,14.4000,0.0160
83000,14.3800,0.0080
83500,14.4400,0.0160
84000,14.4400,0.0100
84500,14.4600,0.0120
85000,14.4000,0.0040
85500,14.4000,0.0100
86000,14.3800,0.0080
86500,14.4200,0.0140
87000,14.4000,0.0080
87500,14.4200,0.0120
88000,14.4000,0.0080
88500,14.4200,0.0120
89000,14.4400,0.0120
89500,14.4200,0.0080
90000,14.3600,0.0040
90500,14.4000,0.0140
91000,14.3800,0.0080
91500,14.3600,0.0080
92000,14.2600,0.0000
92500,14.2000,0.0040
93000,14.1400,0.0040
93500,14.1000,0.0060
94000,14.0600,0.0060
94500,14.0400,0.0080
95000,14.0600,0.0120
95500,14.1000,0.0140
96000,14.1000,0.0100
96500,14.1600,0.0160
97000,14.0600,0.0000
97500,14.1200,0.0160
98000,14.1000,0.0080
98500,14.1400,0.0140
99000,14.0800,0.0040
99500,14.1000,0.0120
100000,14.0200,0.0020
100500,13.9800,0.0060
101000,13.9400,0.0060
101500,13.9200,0.0080
102000,13.8200,0.0000
102500,13.8000,0.0080
103000,13.7000,0.0000
103500,13.6800,0.0080
104000,13.5800,0.0000
104500,13.5800,0.0100
105000,13.5600,0.0080
105500,13.5600,0.0100
106000,13.4600,0.0000
106500,13.4000,0.0040
107000,13.4000,0.0100
107500,13.4000,0.0100
108000,13.4000,0.0100
108500,13.3400,0.0040
109000,13.2400,0.0000
109500,13.1400,0.0000
110000,13.1000,0.0060
110500,13.0000,0.0000
111000,12.9400,0.0040
111500,12.9200,0.0080
112000,12.8200,0.0000
112500,12.7200,0.0000
113000,12.6600,0.0040
113500,12.6000,0.0040
114000,12.5800,0.0080
114500,12.5200,0.0040
115000,12.4600,0.0040
115500,12.3600,0.0000
116000,12.3000,0.0040
116500,12.2000,0.0000
117000,12.1400,0.0040
117500,12.0800,0.0040
118000,12.0600,0.0080
118500,12.0000,0.0040
119000,11.9800,0.0080
119500,11.8800,0.0000
120000,11.8200,0.0040
120500,11.7200,0.0000
121000,11.6200,0.0000
121500,11.5200,0.0000
122000,11.4200,0.0000
122500,11.3800,0.0060
123000,11.2800,0.0000
123500,11.1800,0.0000
124000,11.0800,0.0000
124500,10.9800,0.0000
125000,10.8800,0.0000
125500,10.7800,0.0000
126000,10.7200,0.0040
126500,10.6800,0.0060
127000,10.5800,0.0000
127500,10.5400,0.0060
128000,10.4400,0.0000
128500,10.3400,0.0000
129000,10.2400,0.0000
129500,10.1400,0.0000
130000,10.0400,0.0000
130500,9.9400,0.0000
131000,9.8400,0.0000
131500,9.7400,0.0000
132000,9.6400,0.0000
132500,9.5400,0.0000
133000,9.4400,0.0000
133500,9.3400,0.0000
134000,9.2400,0.0000
134500,9.1400,0.0000
135000,9.0400,0.0000
135500,8.9400,0.0000
136000,8.8400,0.0000
136500,8.7400,0.0000
137000,8.6400,0.0000
137500,8.5400,0.0000
138000,8.4400,0.0000
138500,8.3800,0.0040
139000,8.2800,0.0000
139500,8.1800,0.0000
140000,8.0800,0.0000
140500,7.9800,0.0000
141000,7.8800,0.0000
141500,7.7800,0.0000
142000,7.6800,0.0000
142500,7.5800,0.0000
143000,7.4800,0.0000
143500,7.3800,0.0000
144000,7.2800,0.0000
144500,7.1800,0.0000
145000,7.0800,0.0000
145500,6.9800,0.0000
146000,6.8800,0.0000
146500,6.7800,0.0000
147000,6.6800,0.0000
147500,6.5800,0.0000
148000,6.4800,0.0000
148500,6.3800,0.0000
149000,6.2800,0.0000
149500,6.1800,0.0000
150000,6.0800,0.0000
