timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-494.62,14.77,0.0334,6.7,0.0000,200.0,100,0
20000,-353.68,4.53,0.0146,2.9,1.0000,57.7,80,20
30000,-364.23,1.80,0.0125,2.5,1.0000,62.0,100,0
40000,-362.14,2.02,0.0112,2.2,1.0000,60.9,100,0
50000,-364.62,3.10,0.0115,2.3,1.0000,59.0,98,2
60000,-354.24,4.99,0.0181,3.6,1.0000,55.8,54,46
70000,-351.71,4.98,0.0174,3.5,1.0000,56.3,60,40
80000,-349.62,2.51,0.0151,3.0,1.0000,56.3,68,32
90000,-347.34,2.87,0.0151,3.0,1.0000,56.1,70,30
100000,-343.30,1.79,0.0159,3.2,1.0000,57.2,48,52
110000,-348.83,1.17,0.0172,3.4,1.0000,57.8,28,72
120000,-346.96,1.90,0.0154,3.1,1.0000,58.4,8,92
130000,-344.11,1.63,0.0188,3.8,1.0000,58.9,2,98
140000,-342.42,1.73,0.0138,2.8,1.0000,57.7,0,100
150000,-342.99,1.55,0.0150,3.0,1.0000,57.2,0,100
