timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,15.55,20.56,0.3282,164.1,nan,nan,nan,nan
20000,13.11,32.57,0.2326,116.3,nan,nan,nan,nan
30000,83.57,25.71,0.0776,38.8,nan,nan,nan,nan
40000,21.38,43.01,0.0260,13.0,nan,nan,nan,nan
50000,48.50,81.45,0.0054,2.7,nan,nan,nan,nan
60000,-106.68,134.66,0.0174,7.2,nan,nan,nan,nan
70000,73.07,20.66,0.0215,10.7,nan,nan,nan,nan
80000,71.69,38.13,0.0818,40.9,nan,nan,nan,nan
90000,64.11,39.30,0.0317,15.4,nan,nan,nan,nan
100000,68.68,60.05,0.0169,8.4,nan,nan,nan,nan
110000,-14.65,111.08,0.0179,7.8,nan,nan,nan,nan
120000,33.07,107.36,0.0154,6.8,nan,nan,nan,nan
130000,62.61,41.29,0.0213,10.3,nan,nan,nan,nan
140000,-52.07,209.82,0.0218,10.6,nan,nan,nan,nan
150000,10.42,30.46,0.0144,7.2,nan,nan,nan,nan
160000,23.77,39.35,0.0182,9.1,nan,nan,nan,nan
170000,75.21,40.16,0.0359,18.0,nan,nan,nan,nan
180000,49.68,73.02,0.0410,18.8,nan,nan,nan,nan
190000,83.94,28.79,0.0346,17.3,nan,nan,nan,nan
200000,36.41,88.91,0.0670,32.2,nan,nan,nan,nan
210000,62.90,30.53,0.0822,31.5,nan,nan,nan,nan
220000,64.57,35.70,0.0372,18.4,nan,nan,nan,nan
230000,68.64,31.97,0.0317,15.8,nan,nan,nan,nan
240000,68.68,28.73,0.0310,15.5,nan,nan,nan,nan
250000,54.01,31.14,0.1050,52.5,nan,nan,nan,nan
260000,36.66,72.43,0.0097,4.8,nan,nan,nan,nan
270000,52.32,29.38,0.0213,10.7,nan,nan,nan,nan
280000,29.71,90.08,0.0370,18.5,nan,nan,nan,nan
290000,64.54,26.18,0.0804,40.2,nan,nan,nan,nan
300000,84.81,24.37,0.0132,6.6,nan,nan,nan,nan
