timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-115.44,83.25,0.0691,33.4,nan,nan,nan,nan
20000,-17.95,128.44,0.0200,8.6,nan,nan,nan,nan
30000,-29.00,110.19,0.0161,8.0,nan,nan,nan,nan
40000,-26.93,105.19,0.0039,2.0,nan,nan,nan,nan
50000,53.57,31.77,0.0369,18.4,nan,nan,nan,nan
60000,56.39,58.95,0.0206,10.3,nan,nan,nan,nan
70000,70.46,18.93,0.0251,12.5,nan,nan,nan,nan
80000,34.65,95.98,0.0414,20.0,nan,nan,nan,nan
90000,76.06,28.27,0.0316,15.8,nan,nan,nan,nan
100000,57.73,38.95,0.0604,26.0,nan,nan,nan,nan
110000,40.27,54.41,0.0753,37.6,nan,nan,nan,nan
120000,75.40,61.70,0.0550,22.6,nan,nan,nan,nan
130000,62.97,49.55,0.0406,15.6,nan,nan,nan,nan
140000,61.03,45.28,0.0203,10.0,nan,nan,nan,nan
150000,70.07,23.26,0.0189,9.5,nan,nan,nan,nan
160000,70.12,40.93,0.0208,10.3,nan,nan,nan,nan
170000,67.52,56.22,0.0411,20.5,nan,nan,nan,nan
180000,78.26,29.28,0.0221,11.1,nan,nan,nan,nan
190000,109.45,59.78,0.0207,6.8,nan,nan,nan,nan
200000,93.14,42.10,0.0200,10.0,nan,nan,nan,nan
210000,135.29,83.04,0.0160,6.7,nan,nan,nan,nan
220000,121.09,69.26,0.0165,6.0,nan,nan,nan,nan
230000,114.11,64.16,0.0100,5.0,nan,nan,nan,nan
240000,93.26,84.51,0.0255,11.8,nan,nan,nan,nan
250000,65.09,53.19,0.0097,4.9,nan,nan,nan,nan
260000,92.77,89.61,0.0223,9.7,nan,nan,nan,nan
270000,121.63,56.03,0.0314,15.6,nan,nan,nan,nan
280000,140.99,76.50,0.0288,13.8,nan,nan,nan,nan
290000,191.22,98.46,0.0203,8.6,nan,nan,nan,nan
300000,200.78,72.51,0.0247,9.0,nan,nan,nan,nan
