update,alpha,constraint_C
0,1.035,0.4
1,1.0457999999999998,0.158
2,1.0583999999999998,0.176
3,1.0747999999999998,0.214
4,1.1299999999999997,0.602
5,1.1847999999999996,0.598
6,1.1867999999999996,0.07
7,1.1925999999999997,0.108
8,1.1997999999999998,0.122
9,1.2141999999999997,0.194
10,1.2313999999999998,0.222
11,1.2371999999999999,0.108
12,1.2437999999999998,0.116
13,1.2429999999999999,0.042
14,1.2482,0.102
15,1.248,0.048
16,1.2514,0.084
17,1.2516,0.052
18,1.2542,0.076
19,1.256,0.068
20,1.2604,0.094
21,1.2596,0.042
22,1.2616,0.07
23,1.2624,0.058
24,1.2624,0.05
25,1.2638,0.064
26,1.2664,0.076
27,1.2666,0.052
28,1.2673999999999999,0.058
29,1.2648,0.024
30,1.2697999999999998,0.1
31,1.2691999999999999,0.044
32,1.2693999999999999,0.052
33,1.2693999999999999,0.05
34,1.2719999999999998,0.076
35,1.2779999999999998,0.11
36,1.2833999999999999,0.104
37,1.2886,0.102
38,1.2915999999999999,0.08
39,1.2937999999999998,0.072
40,1.2952,0.064
41,1.2948,0.046
42,1.2938,0.04
43,1.2948,0.06
44,1.3022,0.124
45,1.3028,0.056
46,1.3032,0.054
47,1.3046,0.064
48,1.3095999999999999,0.1
49,1.3092,0.046
50,1.309,0.048
51,1.3095999999999999,0.056
52,1.3094,0.048
53,1.3108,0.064
54,1.316,0.102
55,1.3188,0.078
56,1.3232,0.094
57,1.3228,0.046
58,1.326,0.082
59,1.3274000000000001,0.064
60,1.3278,0.054
61,1.3288,0.06
62,1.3296,0.058
63,1.331,0.064
64,1.3357999999999999,0.098
65,1.3376,0.068
66,1.3397999999999999,0.072
67,1.3394,0.046
68,1.3388,0.044
69,1.336,0.022
70,1.3358,0.048
71,1.3342,0.034
72,1.3376000000000001,0.084
73,1.3348000000000002,0.022
74,1.3350000000000002,0.052
75,1.3372000000000002,0.072
76,1.3390000000000002,0.068
77,1.3396000000000001,0.056
78,1.3402,0.056
79,1.3396000000000001,0.044
80,1.3434000000000001,0.088
81,1.3442,0.058
82,1.3494000000000002,0.102
83,1.3548000000000002,0.104
84,1.3580000000000003,0.082
85,1.3554000000000004,0.024
86,1.3556000000000004,0.052
87,1.3588000000000005,0.082
88,1.3604000000000005,0.066
89,1.3596000000000006,0.042
90,1.3622000000000005,0.076
91,1.3646000000000005,0.074
92,1.3668000000000005,0.072
93,1.3672000000000004,0.054
94,1.3716000000000004,0.094
95,1.3740000000000003,0.074
96,1.3776000000000004,0.086
97,1.3782000000000003,0.056
98,1.3810000000000002,0.078
99,1.3816000000000002,0.056
100,1.3858000000000001,0.092
101,1.3862,0.054
102,1.3892,0.08
103,1.3904,0.062
104,1.3894000000000002,0.04
105,1.3902,0.058
106,1.3932,0.08
107,1.395,0.068
108,1.3982,0.082
109,1.3976000000000002,0.044
110,1.4014000000000002,0.088
111,1.4010000000000002,0.046
112,1.4040000000000001,0.08
113,1.3990000000000002,0.0
114,1.4008000000000003,0.068
115,1.4002000000000003,0.044
116,1.4018000000000004,0.066
117,1.4026000000000003,0.058
118,1.4056000000000002,0.08
119,1.4060000000000001,0.054
120,1.4074000000000002,0.064
121,1.4078000000000002,0.054
122,1.4132000000000002,0.104
123,1.4122000000000003,0.04
124,1.4186000000000003,0.114
125,1.4184000000000003,0.048
126,1.4186000000000003,0.052
127,1.4198000000000004,0.062
128,1.4198000000000004,0.05
129,1.4208000000000003,0.06
130,1.4214000000000002,0.056
131,1.4214000000000002,0.05
132,1.4250000000000003,0.086
133,1.4256000000000002,0.056
134,1.4300000000000002,0.094
135,1.4276000000000002,0.026
136,1.4270000000000003,0.044
137,1.4270000000000003,0.05
138,1.4312000000000002,0.092
139,1.4316000000000002,0.054
140,1.4364000000000001,0.098
141,1.4376000000000002,0.062
142,1.4398000000000002,0.072
143,1.4406,0.058
144,1.4418000000000002,0.062
145,1.4430000000000003,0.062
146,1.4448000000000003,0.068
147,1.4422000000000004,0.024
148,1.4444000000000004,0.072
149,1.4454000000000002,0.06
150,1.4490000000000003,0.086
151,1.4482000000000004,0.042
152,1.4492000000000003,0.06
153,1.4532000000000003,0.09
154,1.4596000000000002,0.114
155,1.4608000000000003,0.062
156,1.4630000000000003,0.072
157,1.4634000000000003,0.054
158,1.4646000000000003,0.062
159,1.4666000000000003,0.07
160,1.4690000000000003,0.074
161,1.4678000000000002,0.038
162,1.4714000000000003,0.086
163,1.4728000000000003,0.064
164,1.4776000000000002,0.098
165,1.4790000000000003,0.064
166,1.4808000000000003,0.068
167,1.4806000000000004,0.048
168,1.4818000000000005,0.062
169,1.4848000000000003,0.08
170,1.4902000000000004,0.104
171,1.4904000000000004,0.052
172,1.4900000000000004,0.046
173,1.4922000000000004,0.072
174,1.4954000000000005,0.082
175,1.4956000000000005,0.052
176,1.4966000000000004,0.06
177,1.4972000000000003,0.056
178,1.5004000000000004,0.082
179,1.5008000000000004,0.054
180,1.5040000000000004,0.082
181,1.5088000000000004,0.098
182,1.5132000000000003,0.094
183,1.5106000000000004,0.024
184,1.5134000000000003,0.078
185,1.5112000000000003,0.028
186,1.5178000000000003,0.116
187,1.5180000000000002,0.052
188,1.5168000000000001,0.038
189,1.5182000000000002,0.064
190,1.5200000000000002,0.068
191,1.5170000000000003,0.02
192,1.5202000000000004,0.082
193,1.5174000000000005,0.022
194,1.5186000000000006,0.062
195,1.5186000000000006,0.05
196,1.5236000000000005,0.1
197,1.5234000000000005,0.048
198,1.5248000000000006,0.064
199,1.5272000000000006,0.074
200,1.5272000000000006,0.05
201,1.5274000000000005,0.052
202,1.5300000000000005,0.076
203,1.5322000000000005,0.072
204,1.5354000000000005,0.082
205,1.5360000000000005,0.056
206,1.5408000000000004,0.098
207,1.5382000000000005,0.024
208,1.5430000000000004,0.098
209,1.5442000000000005,0.062
210,1.5454000000000006,0.062
211,1.5428000000000006,0.024
212,1.5446000000000006,0.068
213,1.5468000000000006,0.072
214,1.5438000000000007,0.02
215,1.5418000000000007,0.03
216,1.5456000000000008,0.088
217,1.5454000000000008,0.048
218,1.5450000000000008,0.046
219,1.5466000000000009,0.066
220,1.550200000000001,0.086
221,1.550200000000001,0.05
222,1.5510000000000008,0.058
223,1.5510000000000008,0.05
224,1.5536000000000008,0.076
225,1.5546000000000006,0.06
226,1.5544000000000007,0.048
227,1.5516000000000008,0.022
228,1.5516000000000008,0.05
229,1.5496000000000008,0.03
230,1.5524000000000007,0.078
231,1.5532000000000006,0.058
232,1.5548000000000006,0.066
233,1.5572000000000006,0.074
234,1.5610000000000006,0.088
235,1.5644000000000007,0.084
236,1.5656000000000008,0.062
237,1.5652000000000008,0.046
238,1.5700000000000007,0.098
239,1.5714000000000008,0.064
240,1.5760000000000007,0.096
241,1.5770000000000006,0.06
242,1.5788000000000006,0.068
243,1.5818000000000005,0.08
244,1.5846000000000005,0.078
245,1.5860000000000005,0.064
246,1.5848000000000004,0.038
247,1.5846000000000005,0.048
248,1.5902000000000005,0.106
249,1.5872000000000006,0.02
250,1.5884000000000007,0.062
251,1.5876000000000008,0.042
252,1.5848000000000009,0.022
253,1.5850000000000009,0.052
254,1.588200000000001,0.082
255,1.588600000000001,0.054
256,1.5910000000000009,0.074
257,1.5910000000000009,0.05
258,1.5948000000000009,0.088
259,1.5954000000000008,0.056
260,1.5996000000000008,0.092
261,1.5968000000000009,0.022
262,1.6014000000000008,0.096
263,1.6030000000000009,0.066
264,1.6036000000000008,0.056
265,1.6036000000000008,0.05
266,1.6036000000000008,0.05
267,1.6040000000000008,0.054
268,1.6054000000000008,0.064
269,1.6070000000000009,0.066
270,1.606600000000001,0.046
271,1.6070000000000009,0.054
272,1.610600000000001,0.086
273,1.6116000000000008,0.06
274,1.6144000000000007,0.078
275,1.6140000000000008,0.046
276,1.6186000000000007,0.096
277,1.6198000000000008,0.062
278,1.6212000000000009,0.064
279,1.6220000000000008,0.058
280,1.6216000000000008,0.046
281,1.622800000000001,0.062
282,1.6238000000000008,0.06
283,1.6224000000000007,0.036
284,1.6276000000000008,0.102
285,1.6254000000000008,0.028
286,1.634600000000001,0.142
287,1.632200000000001,0.026
288,1.636200000000001,0.09
289,1.637000000000001,0.058
290,1.6412000000000009,0.092
291,1.6436000000000008,0.074
292,1.6434000000000009,0.048
293,1.6452000000000009,0.068
294,1.6458000000000008,0.056
295,1.6452000000000009,0.044
296,1.6482000000000008,0.08
297,1.6478000000000008,0.046
298,1.6486000000000007,0.058
299,1.6508000000000007,0.072
