timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-129.98,115.21,0.0110,5.5,nan,nan,nan,nan
20000,8.72,57.75,0.0148,7.4,nan,nan,nan,nan
30000,39.18,29.49,0.2977,148.8,nan,nan,nan,nan
40000,25.97,36.25,0.1332,66.6,nan,nan,nan,nan
50000,56.58,41.59,0.0439,22.0,nan,nan,nan,nan
60000,77.99,36.98,0.0092,4.6,nan,nan,nan,nan
70000,-57.31,282.31,0.0276,10.7,nan,nan,nan,nan
80000,105.44,28.22,0.0268,13.4,nan,nan,nan,nan
90000,113.89,61.54,0.0180,8.2,nan,nan,nan,nan
100000,154.29,61.36,0.0244,8.5,nan,nan,nan,nan
110000,135.85,77.15,0.0178,6.3,nan,nan,nan,nan
120000,129.84,75.83,0.0143,6.5,nan,nan,nan,nan
130000,168.72,92.75,0.0215,5.2,nan,nan,nan,nan
140000,181.09,94.97,0.0489,11.5,nan,nan,nan,nan
150000,220.08,83.99,0.0502,11.7,nan,nan,nan,nan
160000,234.85,82.55,0.0428,10.0,nan,nan,nan,nan
170000,262.98,50.93,0.0198,4.5,nan,nan,nan,nan
180000,237.49,87.93,0.0366,7.0,nan,nan,nan,nan
190000,221.43,73.71,0.0325,7.4,nan,nan,nan,nan
200000,222.72,82.24,0.0613,12.4,nan,nan,nan,nan
210000,208.97,77.94,0.0320,8.4,nan,nan,nan,nan
220000,234.39,58.47,0.0378,8.2,nan,nan,nan,nan
230000,262.69,25.52,0.0253,5.4,nan,nan,nan,nan
240000,265.12,17.58,0.0367,8.3,nan,nan,nan,nan
250000,229.73,76.86,0.0087,2.0,nan,nan,nan,nan
260000,259.23,40.01,0.0443,8.4,nan,nan,nan,nan
270000,260.86,17.42,0.0539,11.5,nan,nan,nan,nan
280000,262.57,35.87,0.0283,6.2,nan,nan,nan,nan
290000,272.18,17.53,0.0301,6.1,nan,nan,nan,nan
300000,266.63,20.45,0.0279,6.1,nan,nan,nan,nan
