timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-356.01,7.75,0.0071,1.4,1.0000,60.5,58,42
20000,-361.37,1.97,0.0125,2.5,1.0000,62.6,100,0
30000,-363.76,2.10,0.0130,2.6,1.0000,62.0,100,0
40000,-352.35,1.40,0.0226,4.5,1.0000,56.5,36,64
50000,-345.19,3.41,0.0150,3.0,1.0000,55.1,64,36
60000,-346.63,1.50,0.0118,2.4,1.0000,56.4,48,52
70000,-344.77,2.35,0.0087,1.7,1.0000,55.6,42,58
80000,-342.30,2.40,0.0057,1.1,1.0000,58.4,6,94
90000,-338.06,3.54,0.0140,2.8,1.0000,54.7,0,100
100000,-332.20,2.79,0.0082,1.6,1.0000,56.5,0,100
110000,-331.88,2.47,0.0101,2.0,1.0000,56.2,0,100
120000,-330.48,1.37,0.0119,2.4,1.0000,56.0,0,100
130000,-329.74,1.74,0.0106,2.1,1.0000,53.9,0,100
140000,-329.02,2.45,0.0104,2.1,1.0000,54.6,0,100
150000,-327.82,1.93,0.0125,2.5,1.0000,54.7,0,100
