timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-368.15,1.18,0.0159,3.2,1.0000,68.7,100,0
20000,-353.92,2.74,0.0396,7.9,1.0000,56.4,0,100
30000,-364.77,1.05,0.0136,2.7,1.0000,66.2,100,0
40000,-349.06,15.12,0.0151,3.0,1.0000,58.1,62,38
50000,-329.86,3.14,0.0184,3.7,1.0000,52.2,0,100
60000,-327.86,2.77,0.0134,2.7,1.0000,51.4,0,100
70000,-326.45,1.49,0.0102,2.0,1.0000,51.0,0,100
80000,-327.35,1.12,0.0145,2.9,1.0000,50.6,0,100
90000,-326.43,1.46,0.0082,1.6,1.0000,51.0,0,100
100000,-326.51,1.55,0.0000,0.0,1.0000,51.0,0,100
110000,-322.81,2.10,0.0000,0.0,1.0000,50.8,0,100
120000,-322.94,1.51,0.0000,0.0,1.0000,51.8,0,100
130000,-322.43,1.47,0.0000,0.0,1.0000,51.9,0,100
140000,-322.81,1.44,0.0000,0.0,1.0000,48.0,0,100
150000,-322.67,1.62,0.0000,0.0,1.0000,47.9,0,100
