step,alpha,constraint_C
500,4.9000,0.0000
1000,5.0620,0.0262
1500,4.9972,0.0035
2000,4.8972,0.0000
2500,5.1456,0.0348
3000,5.0456,0.0000
3500,6.1041,0.1159
4000,6.0041,0.0000
4500,6.2890,0.0385
5000,6.1890,0.0000
5500,6.3684,0.0279
6000,6.2684,0.0000
6500,6.1687,0.0000
7000,6.0878,0.0019
7500,6.2348,0.0247
8000,6.6511,0.0516
8500,8.7649,0.2214
9000,8.9162,0.0251
9500,8.8162,0.0000
10000,8.9279,0.0212
10500,9.1294,0.0301
11000,10.7109,0.1682
11500,10.6109,0.0000
12000,10.5133,0.0002
12500,10.4133,0.0000
13000,10.3133,0.0000
13500,10.7980,0.0585
14000,10.6980,0.0000
14500,10.6045,0.0007
15000,10.5192,0.0015
15500,10.5357,0.0117
16000,10.4357,0.0000
16500,10.3357,0.0000
17000,10.2359,0.0000
17500,10.1359,0.0000
18000,10.0359,0.0000
18500,9.9359,0.0000
19000,9.8359,0.0000
19500,9.7359,0.0000
20000,9.6359,0.0000
20500,9.5401,0.0004
21000,9.4401,0.0000
21500,9.3831,0.0043
22000,9.2831,0.0000
22500,9.1831,0.0000
23000,9.0831,0.0000
23500,8.9831,0.0000
24000,8.8831,0.0000
24500,8.7831,0.0000
25000,8.6831,0.0000
25500,8.5831,0.0000
26000,8.4831,0.0000
26500,8.3831,0.0000
27000,8.2831,0.0000
27500,8.1831,0.0000
28000,8.0831,0.0000
28500,8.8587,0.0876
29000,8.7587,0.0000
29500,8.6587,0.0000
30000,8.5587,0.0000
30500,8.4587,0.0000
31000,8.3587,0.0000
31500,8.2587,0.0000
32000,8.1587,0.0000
32500,8.0587,0.0000
33000,7.9587,0.0000
33500,8.1327,0.0274
34000,8.0327,0.0000
34500,7.9327,0.0000
35000,7.8327,0.0000
35500,7.7327,0.0000
36000,7.6327,0.0000
36500,7.5327,0.0000
37000,7.4327,0.0000
37500,7.3327,0.0000
38000,10.0428,0.2810
38500,10.1530,0.0210
39000,10.2722,0.0219
39500,10.1722,0.0000
40000,10.0722,0.0000
40500,10.3304,0.0358
41000,10.2304,0.0000
41500,10.1304,0.0000
42000,10.0304,0.0000
42500,10.1816,0.0251
43000,10.3647,0.0283
43500,10.2647,0.0000
44000,10.1647,0.0000
44500,10.0647,0.0000
45000,9.9647,0.0000
45500,9.8647,0.0000
46000,9.7647,0.0000
46500,9.6647,0.0000
47000,9.5647,0.0000
47500,9.4647,0.0000
48000,9.3647,0.0000
48500,9.2647,0.0000
49000,9.1647,0.0000
49500,9.0647,0.0000
50000,8.9647,0.0000
50500,8.8647,0.0000
51000,8.7647,0.0000
51500,8.6647,0.0000
52000,8.5647,0.0000
52500,8.4647,0.0000
53000,8.3647,0.0000
53500,8.2647,0.0000
54000,8.1647,0.0000
54500,8.0647,0.0000
55000,7.9647,0.0000
55500,7.8647,0.0000
56000,7.7647,0.0000
56500,7.6647,0.0000
57000,8.6676,0.1103
57500,8.5676,0.0000
58000,8.4676,0.0000
58500,8.3676,0.0000
59000,8.9425,0.0675
59500,8.8425,0.0000
60000,8.7425,0.0000
60500,8.6425,0.0000
61000,8.5425,0.0000
61500,8.4425,0.0000
62000,8.3425,0.0000
62500,8.2425,0.0000
63000,8.1425,0.0000
63500,8.0425,0.0000
64000,7.9425,0.0000
64500,7.8425,0.0000
65000,7.7425,0.0000
65500,7.6425,0.0000
66000,7.5425,0.0000
66500,10.5765,0.3134
67000,10.4765,0.0000
67500,10.3765,0.0000
68000,10.2765,0.0000
68500,10.1765,0.0000
69000,10.0765,0.0000
69500,9.9765,0.0000
70000,9.8765,0.0000
70500,9.7765,0.0000
71000,9.6765,0.0000
71500,9.5765,0.0000
72000,9.4765,0.0000
72500,9.8059,0.0429
73000,9.7059,0.0000
73500,9.6059,0.0000
74000,9.5059,0.0000
74500,10.0108,0.0605
75000,9.9108,0.0000
75500,9.8108,0.0000
76000,9.7108,0.0000
76500,9.6108,0.0000
77000,9.6005,0.0090
77500,10.4877,0.0987
78000,12.6630,0.2275
78500,12.5630,0.0000
79000,12.4630,0.0000
79500,12.3630,0.0000
80000,12.2630,0.0000
80500,12.1630,0.0000
81000,12.0630,0.0000
81500,12.0124,0.0049
82000,11.9124,0.0000
82500,11.8124,0.0000
83000,11.7124,0.0000
83500,11.6124,0.0000
84000,11.5165,0.0004
84500,11.4228,0.0006
85000,11.3228,0.0000
85500,11.2228,0.0000
86000,11.1228,0.0000
86500,11.0228,0.0000
87000,10.9228,0.0000
87500,10.8855,0.0063
88000,10.7855,0.0000
88500,10.6855,0.0000
89000,10.7743,0.0189
89500,10.6743,0.0000
90000,10.5743,0.0000
90500,10.4743,0.0000
91000,10.3743,0.0000
91500,10.2743,0.0000
92000,10.1743,0.0000
92500,10.0743,0.0000
93000,9.9743,0.0000
93500,9.8743,0.0000
94000,9.7743,0.0000
94500,9.6743,0.0000
95000,9.5743,0.0000
95500,9.4743,0.0000
96000,9.3743,0.0000
96500,9.2743,0.0000
97000,9.1743,0.0000
97500,9.0743,0.0000
98000,8.9743,0.0000
98500,8.8743,0.0000
99000,8.7743,0.0000
99500,8.6743,0.0000
100000,8.5743,0.0000
100500,8.4743,0.0000
101000,8.3743,0.0000
101500,8.2743,0.0000
102000,8.1743,0.0000
102500,8.0743,0.0000
103000,7.9743,0.0000
103500,7.8743,0.0000
104000,7.7743,0.0000
104500,7.6743,0.0000
105000,7.5743,0.0000
105500,7.4743,0.0000
106000,7.3743,0.0000
106500,7.2743,0.0000
107000,7.1743,0.0000
107500,7.0743,0.0000
108000,6.9743,0.0000
108500,6.8743,0.0000
109000,6.7743,0.0000
109500,6.6743,0.0000
110000,6.5743,0.0000
110500,6.4743,0.0000
111000,6.3743,0.0000
111500,6.2743,0.0000
112000,6.1743,0.0000
112500,6.0743,0.0000
113000,5.9743,0.0000
113500,5.8743,0.0000
114000,5.7743,0.0000
114500,5.6743,0.0000
115000,5.5743,0.0000
115500,5.4743,0.0000
116000,5.3743,0.0000
116500,5.2743,0.0000
117000,5.1743,0.0000
117500,5.0743,0.0000
118000,5.8271,0.0853
118500,5.7271,0.0000
119000,5.9188,0.0292
119500,5.8188,0.0000
120000,5.7188,0.0000
120500,5.6188,0.0000
121000,5.5188,0.0000
121500,5.4188,0.0000
122000,5.3188,0.0000
122500,5.2188,0.0000
123000,5.1525,0.0034
123500,5.5953,0.0543
124000,5.4953,0.0000
124500,5.3953,0.0000
125000,5.2953,0.0000
125500,5.1953,0.0000
126000,5.0953,0.0000
126500,4.9953,0.0000
127000,4.8953,0.0000
127500,4.7953,0.0000
128000,4.6953,0.0000
128500,5.4181,0.0823
129000,5.3181,0.0000
129500,5.2181,0.0000
130000,5.1181,0.0000
130500,5.0181,0.0000
131000,4.9181,0.0000
131500,6.2078,0.1390
132000,6.1079,0.0000
132500,6.0079,0.0000
133000,5.9450,0.0037
133500,6.0010,0.0156
134000,6.3353,0.0434
134500,6.2353,0.0000
135000,6.1353,0.0000
135500,6.0353,0.0000
136000,5.9353,0.0000
136500,5.8353,0.0000
137000,5.7353,0.0000
137500,6.0375,0.0402
138000,7.3359,0.1398
138500,7.2359,0.0000
139000,7.1359,0.0000
139500,7.0359,0.0000
140000,6.9359,0.0000
140500,6.8359,0.0000
141000,6.7359,0.0000
141500,6.6359,0.0000
142000,6.5359,0.0000
142500,6.4359,0.0000
143000,6.3359,0.0000
143500,6.2359,0.0000
144000,6.1359,0.0000
144500,6.0359,0.0000
145000,5.9359,0.0000
145500,5.8359,0.0000
146000,5.7359,0.0000
146500,5.6359,0.0000
147000,5.5359,0.0000
147500,5.4359,0.0000
148000,5.3359,0.0000
148500,5.2359,0.0000
149000,5.1359,0.0000
149500,5.0359,0.0000
150000,4.9359,0.0000
150500,4.8359,0.0000
151000,4.7359,0.0000
151500,4.6359,0.0000
152000,4.5359,0.0000
152500,4.4359,0.0000
153000,4.3359,0.0000
153500,4.2359,0.0000
154000,4.1359,0.0000
154500,4.0359,0.0000
155000,3.9359,0.0000
155500,3.8359,0.0000
156000,3.7359,0.0000
156500,3.6359,0.0000
157000,3.5359,0.0000
157500,3.4359,0.0000
158000,3.3359,0.0000
158500,3.2359,0.0000
159000,3.1359,0.0000
159500,3.0359,0.0000
160000,2.9359,0.0000
160500,2.8391,0.0003
161000,2.8447,0.0106
161500,2.9574,0.0213
162000,2.8574,0.0000
162500,2.7574,0.0000
163000,2.6574,0.0000
163500,2.5574,0.0000
164000,2.4574,0.0000
164500,2.8420,0.0485
165000,2.7420,0.0000
165500,2.6420,0.0000
166000,2.5420,0.0000
166500,2.4420,0.0000
167000,2.3420,0.0000
167500,2.2420,0.0000
168000,2.1420,0.0000
168500,2.0420,0.0000
169000,1.9420,0.0000
169500,1.8420,0.0000
170000,1.7420,0.0000
170500,1.6420,0.0000
171000,1.5420,0.0000
171500,1.4420,0.0000
172000,1.3420,0.0000
172500,1.2420,0.0000
173000,1.1420,0.0000
173500,1.0420,0.0000
174000,0.9420,0.0000
174500,0.8420,0.0000
175000,0.7420,0.0000
175500,0.6420,0.0000
176000,0.5420,0.0000
176500,0.4420,0.0000
177000,0.3420,0.0000
177500,0.2420,0.0000
178000,0.2030,0.0061
178500,0.1759,0.0073
179000,0.0759,0.0000
179500,0.0000,0.0000
180000,0.0000,0.0000
180500,0.0000,0.0000
181000,1.3574,0.1457
181500,1.6636,0.0406
182000,1.5636,0.0000
182500,2.5781,0.1114
183000,2.4781,0.0000
183500,2.3781,0.0000
184000,2.2781,0.0000
184500,2.1781,0.0000
185000,2.0781,0.0000
185500,1.9781,0.0000
186000,1.8781,0.0000
186500,1.7781,0.0000
187000,1.6781,0.0000
187500,1.5781,0.0000
188000,1.4781,0.0000
188500,1.3781,0.0000
189000,1.2781,0.0000
189500,1.1781,0.0000
190000,1.0781,0.0000
190500,0.9781,0.0000
191000,0.8781,0.0000
191500,0.7781,0.0000
192000,0.6781,0.0000
192500,0.5781,0.0000
193000,0.4781,0.0000
193500,0.3781,0.0000
194000,0.2781,0.0000
194500,0.1781,0.0000
195000,0.0781,0.0000
195500,0.0000,0.0000
196000,0.0000,0.0000
196500,0.0000,0.0000
197000,0.0000,0.0000
197500,0.0000,0.0000
198000,0.0000,0.0000
198500,0.0000,0.0000
199000,0.0000,0.0000
199500,0.0000,0.0000
200000,0.0000,0.0000
200500,0.0000,0.0000
201000,0.0000,0.0000
201500,0.0000,0.0000
202000,0.0000,0.0000
202500,0.0000,0.0000
203000,0.0000,0.0000
203500,0.0000,0.0000
204000,0.0000,0.0000
204500,0.0000,0.0000
205000,0.0000,0.0000
205500,0.0000,0.0000
206000,0.0000,0.0000
206500,0.0000,0.0000
207000,0.0000,0.0000
207500,0.0000,0.0000
208000,0.0000,0.0000
208500,0.0000,0.0000
209000,0.0000,0.0000
209500,0.0000,0.0000
210000,0.0000,0.0000
210500,0.0000,0.0000
211000,0.0000,0.0000
211500,0.0000,0.0000
212000,0.0000,0.0000
212500,0.0000,0.0000
213000,0.0000,0.0000
213500,0.0000,0.0000
214000,0.0000,0.0000
214500,0.0000,0.0000
215000,0.0000,0.0000
215500,0.0000,0.0000
216000,0.0000,0.0000
216500,0.0000,0.0000
217000,0.0000,0.0000
217500,0.0000,0.0000
218000,0.0000,0.0000
218500,0.0000,0.0000
219000,0.0000,0.0000
219500,0.0000,0.0000
220000,0.0000,0.0000
220500,0.0000,0.0000
221000,0.0000,0.0000
221500,0.0000,0.0000
222000,0.0000,0.0000
222500,0.0000,0.0000
223000,0.0000,0.0000
223500,0.0000,0.0000
224000,0.0000,0.0000
224500,0.0000,0.0000
225000,0.0000,0.0000
225500,0.0000,0.0000
226000,0.0000,0.0000
226500,0.0000,0.0000
227000,0.0000,0.0000
227500,0.0000,0.0000
228000,0.0000,0.0000
228500,0.0000,0.0000
229000,0.0000,0.0000
229500,0.0000,0.0000
230000,0.0000,0.0000
230500,0.0000,0.0089
231000,0.0000,0.0000
231500,0.0000,0.0000
232000,0.0000,0.0000
232500,0.0000,0.0000
233000,0.0000,0.0000
233500,0.0000,0.0000
234000,0.0000,0.0000
234500,0.0000,0.0000
235000,0.0000,0.0000
235500,0.0000,0.0000
236000,0.0000,0.0000
236500,0.0000,0.0000
237000,0.0000,0.0000
237500,0.0000,0.0000
238000,0.0000,0.0000
238500,0.0000,0.0000
239000,0.0000,0.0000
239500,0.0000,0.0000
240000,0.0000,0.0000
240500,0.0000,0.0000
241000,0.0000,0.0000
241500,0.0000,0.0000
242000,0.0000,0.0000
242500,0.0000,0.0000
243000,0.0000,0.0000
243500,0.0000,0.0000
244000,0.0000,0.0000
244500,0.0000,0.0000
245000,0.0000,0.0000
245500,0.7671,0.0867
246000,1.0295,0.0362
246500,0.9295,0.0000
247000,0.8295,0.0000
247500,0.7295,0.0000
248000,0.6295,0.0000
248500,0.5295,0.0000
249000,0.4295,0.0000
249500,0.3295,0.0000
250000,0.2295,0.0000
250500,0.1295,0.0000
251000,0.0295,0.0000
251500,0.0000,0.0000
252000,0.0000,0.0000
