timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,14.10,33.73,0.0156,7.8,nan,nan,nan,nan
20000,12.71,83.80,0.0229,11.5,nan,nan,nan,nan
30000,-18.13,92.58,0.2822,141.1,nan,nan,nan,nan
40000,15.43,29.79,0.1337,64.8,nan,nan,nan,nan
50000,34.95,49.93,0.0805,40.3,nan,nan,nan,nan
60000,48.62,82.21,0.0134,6.7,nan,nan,nan,nan
70000,24.22,95.57,0.0209,10.4,nan,nan,nan,nan
80000,82.47,72.68,0.0195,9.7,nan,nan,nan,nan
90000,100.91,92.77,0.0294,13.5,nan,nan,nan,nan
100000,207.87,81.91,0.0488,18.4,nan,nan,nan,nan
110000,138.73,96.38,0.0342,13.0,nan,nan,nan,nan
120000,170.53,99.25,0.0530,24.4,nan,nan,nan,nan
130000,181.55,90.73,0.0248,10.3,nan,nan,nan,nan
140000,213.65,116.04,0.1007,35.1,nan,nan,nan,nan
150000,215.80,84.23,0.0645,20.1,nan,nan,nan,nan
160000,255.71,35.38,0.0516,11.5,nan,nan,nan,nan
170000,253.86,60.87,0.0209,5.3,nan,nan,nan,nan
180000,254.81,30.57,0.0423,9.9,nan,nan,nan,nan
190000,229.64,84.80,0.0416,10.0,nan,nan,nan,nan
200000,265.02,43.76,0.0574,12.2,nan,nan,nan,nan
210000,267.06,31.20,0.0345,7.6,nan,nan,nan,nan
220000,272.48,17.93,0.0356,7.4,nan,nan,nan,nan
230000,276.89,19.74,0.0453,10.4,nan,nan,nan,nan
240000,237.81,105.34,0.0623,15.1,nan,nan,nan,nan
250000,279.79,22.72,0.0217,5.2,nan,nan,nan,nan
260000,269.45,26.78,0.0598,13.9,nan,nan,nan,nan
270000,271.37,19.49,0.0496,9.6,nan,nan,nan,nan
280000,272.13,30.18,0.0302,5.5,nan,nan,nan,nan
290000,281.53,22.33,0.0335,6.3,nan,nan,nan,nan
300000,277.75,20.00,0.0330,7.0,nan,nan,nan,nan
