timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,81.56,102.95,0.0468,22.2,nan,nan,nan,nan
20000,73.34,32.17,0.1240,61.4,nan,nan,nan,nan
30000,39.38,60.11,0.2864,143.2,nan,nan,nan,nan
40000,52.83,48.88,0.1837,91.2,nan,nan,nan,nan
50000,8.35,52.33,0.0354,9.4,nan,nan,nan,nan
60000,-31.95,184.19,0.0153,4.9,nan,nan,nan,nan
70000,-17.56,111.55,0.0271,13.0,nan,nan,nan,nan
80000,73.10,79.92,0.0774,38.7,nan,nan,nan,nan
90000,50.91,139.45,0.0248,5.8,nan,nan,nan,nan
100000,-27.81,137.72,0.0408,10.2,nan,nan,nan,nan
110000,38.59,127.21,0.0248,10.9,nan,nan,nan,nan
120000,124.26,101.13,0.0265,11.8,nan,nan,nan,nan
130000,141.03,104.61,0.0404,16.9,nan,nan,nan,nan
140000,149.55,109.75,0.0313,11.9,nan,nan,nan,nan
150000,200.93,93.75,0.0186,5.5,nan,nan,nan,nan
160000,167.31,99.24,0.0228,6.5,nan,nan,nan,nan
170000,133.71,100.92,0.0182,4.9,nan,nan,nan,nan
180000,170.96,111.10,0.0339,8.6,nan,nan,nan,nan
190000,185.56,105.66,0.0318,9.1,nan,nan,nan,nan
200000,216.22,74.99,0.0412,11.4,nan,nan,nan,nan
210000,254.46,34.96,0.0465,10.8,nan,nan,nan,nan
220000,256.87,39.08,0.0486,11.1,nan,nan,nan,nan
230000,251.46,28.92,0.0348,8.4,nan,nan,nan,nan
240000,218.13,95.15,0.0337,7.8,nan,nan,nan,nan
250000,248.17,70.52,0.0114,2.8,nan,nan,nan,nan
260000,267.39,39.45,0.0227,5.2,nan,nan,nan,nan
270000,261.71,38.77,0.0319,8.1,nan,nan,nan,nan
280000,254.35,50.70,0.0353,9.6,nan,nan,nan,nan
290000,261.86,36.40,0.0215,5.5,nan,nan,nan,nan
300000,256.23,21.28,0.0236,6.8,nan,nan,nan,nan
