update,alpha,constraint_C
0,0.998,0.0
1,1.0018,0.058
2,1.0064,0.066
3,1.0098,0.054
4,1.0190000000000001,0.112
5,1.0522,0.352
6,1.0874,0.372
7,1.1052,0.198
8,1.1159999999999999,0.128
9,1.1221999999999999,0.082
10,1.1251999999999998,0.05
11,1.1243999999999998,0.012
12,1.1271999999999998,0.048
13,1.1353999999999997,0.102
14,1.1355999999999997,0.022
15,1.1363999999999996,0.028
16,1.1371999999999995,0.028
17,1.1375999999999995,0.024
18,1.1387999999999996,0.032
19,1.1367999999999996,0.0
20,1.1377999999999995,0.03
21,1.1377999999999995,0.02
22,1.1387999999999994,0.03
23,1.1383999999999994,0.016
24,1.1383999999999994,0.02
25,1.1375999999999995,0.012
26,1.1377999999999995,0.022
27,1.1377999999999995,0.02
28,1.1393999999999995,0.036
29,1.1405999999999996,0.032
30,1.1439999999999997,0.054
31,1.1451999999999998,0.032
32,1.1451999999999998,0.02
33,1.1449999999999998,0.018
34,1.1465999999999998,0.036
35,1.1458,0.012
36,1.145,0.012
37,1.146,0.03
38,1.1476,0.036
39,1.148,0.024
40,1.1492,0.032
41,1.1496,0.024
42,1.1545999999999998,0.07
43,1.156,0.034
44,1.1567999999999998,0.028
45,1.1553999999999998,0.006
46,1.1561999999999997,0.028
47,1.1587999999999996,0.046
48,1.1605999999999996,0.038
49,1.1609999999999996,0.024
50,1.1599999999999997,0.01
51,1.1611999999999998,0.032
52,1.1635999999999997,0.044
53,1.1643999999999997,0.028
54,1.1661999999999997,0.038
55,1.1663999999999997,0.022
56,1.1697999999999997,0.054
57,1.1693999999999998,0.016
58,1.1717999999999997,0.044
59,1.1719999999999997,0.022
60,1.1729999999999996,0.03
61,1.1737999999999995,0.028
62,1.1751999999999996,0.034
63,1.1755999999999995,0.024
64,1.1775999999999995,0.04
65,1.1779999999999995,0.024
66,1.1789999999999994,0.03
67,1.1795999999999993,0.026
68,1.1833999999999993,0.058
69,1.1835999999999993,0.022
70,1.1845999999999992,0.03
71,1.1837999999999993,0.012
72,1.1845999999999992,0.028
73,1.1849999999999992,0.024
74,1.1869999999999992,0.04
75,1.187999999999999,0.03
76,1.188799999999999,0.028
77,1.189999999999999,0.032
78,1.1889999999999992,0.01
79,1.1891999999999991,0.022
80,1.1903999999999992,0.032
81,1.1899999999999993,0.016
82,1.1893999999999993,0.014
83,1.1897999999999993,0.024
84,1.1913999999999993,0.036
85,1.1903999999999995,0.01
86,1.1907999999999994,0.024
87,1.1917999999999993,0.03
88,1.1919999999999993,0.022
89,1.1915999999999993,0.016
90,1.1939999999999993,0.044
91,1.1939999999999993,0.02
92,1.1931999999999994,0.012
93,1.1923999999999995,0.012
94,1.1943999999999995,0.04
95,1.1951999999999994,0.028
96,1.1965999999999994,0.034
97,1.1959999999999995,0.014
98,1.1969999999999994,0.03
99,1.1971999999999994,0.022
100,1.1981999999999993,0.03
101,1.1987999999999992,0.026
102,1.2007999999999992,0.04
103,1.1993999999999991,0.006
104,1.2009999999999992,0.036
105,1.2001999999999993,0.012
106,1.2027999999999992,0.046
107,1.2047999999999992,0.04
108,1.2061999999999993,0.034
109,1.2071999999999992,0.03
110,1.2075999999999991,0.024
111,1.205999999999999,0.004
112,1.2049999999999992,0.01
113,1.2061999999999993,0.032
114,1.2083999999999993,0.042
115,1.2079999999999993,0.016
116,1.2101999999999993,0.042
117,1.2095999999999993,0.014
118,1.2109999999999994,0.034
119,1.2107999999999994,0.018
120,1.2123999999999995,0.036
121,1.2125999999999995,0.022
122,1.2105999999999995,0.0
123,1.2113999999999994,0.028
124,1.2131999999999994,0.038
125,1.2137999999999993,0.026
126,1.2135999999999993,0.018
127,1.2135999999999993,0.02
128,1.2163999999999993,0.048
129,1.2169999999999992,0.026
130,1.2201999999999993,0.052
131,1.2215999999999994,0.034
132,1.2229999999999994,0.034
133,1.2227999999999994,0.018
134,1.2213999999999994,0.006
135,1.2205999999999995,0.012
136,1.2209999999999994,0.024
137,1.2209999999999994,0.02
138,1.2209999999999994,0.02
139,1.2213999999999994,0.024
140,1.2227999999999994,0.034
141,1.2217999999999996,0.01
142,1.2235999999999996,0.038
143,1.2241999999999995,0.026
144,1.2255999999999996,0.034
145,1.2265999999999995,0.03
146,1.2287999999999994,0.042
147,1.2289999999999994,0.022
148,1.2297999999999993,0.028
149,1.2301999999999993,0.024
150,1.2319999999999993,0.038
151,1.2315999999999994,0.016
152,1.2337999999999993,0.042
153,1.2347999999999992,0.03
154,1.2359999999999993,0.032
155,1.2357999999999993,0.018
156,1.2365999999999993,0.028
157,1.2371999999999992,0.026
158,1.2383999999999993,0.032
159,1.2373999999999994,0.01
160,1.2375999999999994,0.022
161,1.2371999999999994,0.016
162,1.2369999999999994,0.018
163,1.2371999999999994,0.022
164,1.2387999999999995,0.036
165,1.2387999999999995,0.02
166,1.2377999999999996,0.01
167,1.2385999999999995,0.028
168,1.2411999999999994,0.046
169,1.2419999999999993,0.028
170,1.2419999999999993,0.02
171,1.2419999999999993,0.02
172,1.2437999999999994,0.038
173,1.2437999999999994,0.02
174,1.2441999999999993,0.024
175,1.2449999999999992,0.028
176,1.2455999999999992,0.026
177,1.245999999999999,0.024
178,1.246999999999999,0.03
179,1.247799999999999,0.028
180,1.2487999999999988,0.03
181,1.2497999999999987,0.03
182,1.2501999999999986,0.024
183,1.2507999999999986,0.026
184,1.2523999999999986,0.036
185,1.2515999999999987,0.012
186,1.2517999999999987,0.022
187,1.2521999999999986,0.024
188,1.2537999999999987,0.036
189,1.2541999999999986,0.024
190,1.2557999999999987,0.036
191,1.2545999999999986,0.008
192,1.2549999999999986,0.024
193,1.2555999999999985,0.026
194,1.2563999999999984,0.028
195,1.2571999999999983,0.028
196,1.2573999999999983,0.022
197,1.2569999999999983,0.016
198,1.2565999999999984,0.016
199,1.2551999999999983,0.006
200,1.2551999999999983,0.02
201,1.2559999999999982,0.028
202,1.2567999999999981,0.028
203,1.2565999999999982,0.018
204,1.2565999999999982,0.02
205,1.2561999999999982,0.016
206,1.2557999999999983,0.016
207,1.2561999999999982,0.024
208,1.2569999999999981,0.028
209,1.2565999999999982,0.016
210,1.2565999999999982,0.02
211,1.2559999999999982,0.014
212,1.2579999999999982,0.04
213,1.2571999999999983,0.012
214,1.2587999999999984,0.036
215,1.2581999999999984,0.014
216,1.2597999999999985,0.036
217,1.2603999999999984,0.026
218,1.2611999999999983,0.028
219,1.2613999999999983,0.022
220,1.2627999999999984,0.034
221,1.2617999999999985,0.01
222,1.2609999999999986,0.012
223,1.2603999999999986,0.014
224,1.2615999999999987,0.032
225,1.2607999999999988,0.012
226,1.2621999999999989,0.034
227,1.261399999999999,0.012
228,1.261399999999999,0.02
229,1.261399999999999,0.02
230,1.261799999999999,0.024
231,1.261599999999999,0.018
232,1.260999999999999,0.014
233,1.261199999999999,0.022
234,1.260799999999999,0.016
235,1.2597999999999991,0.01
236,1.2609999999999992,0.032
237,1.2607999999999993,0.018
238,1.2615999999999992,0.028
239,1.2615999999999992,0.02
240,1.262199999999999,0.026
241,1.2613999999999992,0.012
242,1.2607999999999993,0.014
243,1.2599999999999993,0.012
244,1.2609999999999992,0.03
245,1.2605999999999993,0.016
246,1.2613999999999992,0.028
247,1.2605999999999993,0.012
248,1.2609999999999992,0.024
249,1.2599999999999993,0.01
250,1.2607999999999993,0.028
251,1.2605999999999993,0.018
252,1.2611999999999992,0.026
253,1.2607999999999993,0.016
254,1.2617999999999991,0.03
255,1.2619999999999991,0.022
256,1.260599999999999,0.006
257,1.260799999999999,0.022
258,1.262399999999999,0.036
259,1.2619999999999991,0.016
260,1.2635999999999992,0.036
261,1.2625999999999993,0.01
262,1.2641999999999993,0.036
263,1.2645999999999993,0.024
264,1.2667999999999993,0.042
265,1.2663999999999993,0.016
266,1.2679999999999993,0.036
267,1.2683999999999993,0.024
268,1.2679999999999993,0.016
269,1.2677999999999994,0.018
270,1.2677999999999994,0.02
271,1.2671999999999994,0.014
272,1.2671999999999994,0.02
273,1.2675999999999994,0.024
274,1.2669999999999995,0.014
275,1.2673999999999994,0.024
276,1.2691999999999994,0.038
277,1.2689999999999995,0.018
278,1.2705999999999995,0.036
279,1.2695999999999996,0.01
280,1.2701999999999996,0.026
281,1.2695999999999996,0.014
282,1.2705999999999995,0.03
283,1.2709999999999995,0.024
284,1.2705999999999995,0.016
285,1.2699999999999996,0.014
286,1.2703999999999995,0.024
287,1.2701999999999996,0.018
288,1.2709999999999995,0.028
289,1.2711999999999994,0.022
290,1.2721999999999993,0.03
291,1.2723999999999993,0.022
292,1.2727999999999993,0.024
293,1.2721999999999993,0.014
294,1.2727999999999993,0.026
295,1.2729999999999992,0.022
296,1.2741999999999993,0.032
297,1.2743999999999993,0.022
298,1.2747999999999993,0.024
299,1.2743999999999993,0.016
