metric,lower_is_better,baseline_p2_mean,baseline_p2_std,baseline_p2_n,baseline_p10_mean,baseline_p10_std,baseline_p10_n,baseline_p30_mean,baseline_p30_std,baseline_p30_n,lagr_epsilon0.01_mean,lagr_epsilon0.01_std,lagr_epsilon0.01_n
Zone depth-weighted step fraction,1,0.010415,0.003538,6,0.000453,0.000727,6,0.000119,0.000233,6,0.004432,0.005964,6
True return,0,261.800881,24.474139,6,220.612042,76.041337,6,117.970133,114.234513,6,258.005093,25.683606,6
Strict landing rate,0,0.951429,0.077123,6,0.765714,0.347824,6,0.425000,0.441256,6,0.960000,0.063527,6
Crash rate,1,0.004286,0.004949,6,0.013571,0.029364,6,0.004286,0.004165,6,0.007143,0.017496,6
Timeout rate,1,0.044286,0.074567,6,0.220714,0.336127,6,0.570714,0.438776,6,0.032857,0.046893,6
Wall-clock training time (s),1,3697.100000,24.385066,6,3675.528571,45.470861,6,3813.771429,97.779588,6,3719.000000,42.426137,6
