metric,lower_is_better,baseline_p2_mean,baseline_p2_std,baseline_p2_n,baseline_p10_mean,baseline_p10_std,baseline_p10_n,baseline_p30_mean,baseline_p30_std,baseline_p30_n,lagr_epsilon0.01_mean,lagr_epsilon0.01_std,lagr_epsilon0.01_n
Zone depth-weighted step fraction,1,0.010511,0.002893,6,0.010421,0.002086,6,0.012479,0.007548,6,0.009534,0.001865,6
True return,0,238.285133,41.144847,6,259.959953,16.961628,6,201.179812,66.941062,6,243.624486,63.774976,6
Strict landing rate,0,0.817500,0.212696,6,0.936667,0.046068,6,0.691667,0.337758,6,0.844167,0.330699,6
Crash rate,1,0.025833,0.035287,6,0.021667,0.039651,6,0.023333,0.025111,6,0.000833,0.001863,6
Timeout rate,1,0.156667,0.184790,6,0.041667,0.026247,6,0.285000,0.338563,6,0.155000,0.328836,6
Wall-clock training time (s),1,2392.250000,20.548053,6,2479.366667,81.660632,6,2570.583333,116.011686,6,2565.266667,108.388432,6
