update,alpha,constraint_C
0,1.0106,0.156
1,1.0148,0.092
2,1.011,0.012
3,1.0091999999999999,0.032
4,1.0306,0.264
5,1.0564,0.308
6,1.064,0.126
7,1.0658,0.068
8,1.0692000000000002,0.084
9,1.0704000000000002,0.062
10,1.0706000000000002,0.052
11,1.0666000000000002,0.01
12,1.0662000000000003,0.046
13,1.0628000000000002,0.016
14,1.0590000000000002,0.012
15,1.0558,0.018
16,1.0526,0.018
17,1.0516,0.04
18,1.0528000000000002,0.062
19,1.0520000000000003,0.042
20,1.0484000000000002,0.014
21,1.0452000000000001,0.018
22,1.0436,0.034
23,1.0414,0.028
24,1.0392000000000001,0.028
25,1.0388000000000002,0.046
26,1.0366000000000002,0.028
27,1.0328000000000002,0.012
28,1.0294,0.016
29,1.0262,0.018
30,1.0254,0.042
31,1.0242,0.038
32,1.021,0.018
33,1.02,0.04
34,1.0198,0.048
35,1.0176,0.028
36,1.0184,0.058
37,1.0154,0.02
38,1.0124000000000002,0.02
39,1.0102000000000002,0.028
40,1.0084000000000002,0.032
41,1.0058000000000002,0.024
42,1.0044000000000002,0.036
43,1.0040000000000002,0.046
44,1.0046000000000002,0.056
45,1.0008000000000001,0.012
46,0.9988000000000001,0.03
47,0.9942000000000001,0.004
48,0.9906,0.014
49,0.9878,0.022
50,0.9856,0.028
51,0.984,0.034
52,0.981,0.02
53,0.977,0.01
54,0.9752,0.032
55,0.9713999999999999,0.012
56,0.9705999999999999,0.042
57,0.9672,0.016
58,0.964,0.018
59,0.962,0.03
60,0.9608,0.038
61,0.9576,0.018
62,0.9546,0.02
63,0.9516,0.02
64,0.9498,0.032
65,0.9466,0.018
66,0.9426,0.01
67,0.939,0.014
68,0.9378,0.038
69,0.9349999999999999,0.022
70,0.9346,0.046
71,0.9318,0.022
72,0.9291999999999999,0.024
73,0.9258,0.016
74,0.9228,0.02
75,0.9194,0.016
76,0.9174,0.03
77,0.914,0.016
78,0.9116000000000001,0.026
79,0.9088,0.022
80,0.9076000000000001,0.038
81,0.9046000000000001,0.02
82,0.9014000000000001,0.018
83,0.8984000000000001,0.02
84,0.8954000000000001,0.02
85,0.8930000000000001,0.026
86,0.8914000000000001,0.034
87,0.8874000000000001,0.01
88,0.8842000000000001,0.018
89,0.8802000000000001,0.01
90,0.8784000000000001,0.032
91,0.8750000000000001,0.016
92,0.8726000000000002,0.026
93,0.8680000000000001,0.004
94,0.8648000000000001,0.018
95,0.8616000000000001,0.018
96,0.8588000000000001,0.022
97,0.8550000000000001,0.012
98,0.8518000000000001,0.018
99,0.8478000000000001,0.01
100,0.8474000000000002,0.046
101,0.8448000000000001,0.024
102,0.8428000000000001,0.03
103,0.8378000000000001,0.0
104,0.8362,0.034
105,0.8336,0.024
106,0.832,0.034
107,0.8283999999999999,0.014
108,0.8267999999999999,0.034
109,0.8243999999999999,0.026
110,0.8221999999999999,0.028
111,0.82,0.028
112,0.8181999999999999,0.032
113,0.8138,0.006
114,0.8116,0.028
115,0.8089999999999999,0.024
116,0.8076,0.036
117,0.8042,0.016
118,0.8034,0.042
119,0.8018,0.034
120,0.8008,0.04
121,0.7996,0.038
122,0.7988,0.042
123,0.7974,0.036
124,0.7964,0.04
125,0.794,0.026
126,0.7922,0.032
127,0.7882,0.01
128,0.7868,0.036
129,0.7842,0.024
130,0.7816,0.024
131,0.7796,0.03
132,0.7786,0.04
133,0.7762,0.026
134,0.7742,0.03
135,0.7714,0.022
136,0.7694,0.03
137,0.767,0.026
138,0.7638,0.018
139,0.7618,0.03
140,0.7586,0.018
141,0.7558,0.022
142,0.754,0.032
143,0.7514,0.024
144,0.7497999999999999,0.034
145,0.7469999999999999,0.022
146,0.7441999999999999,0.022
147,0.7417999999999999,0.026
148,0.7411999999999999,0.044
149,0.7387999999999999,0.026
150,0.7373999999999999,0.036
151,0.7333999999999999,0.01
152,0.7317999999999999,0.034
153,0.7289999999999999,0.022
154,0.7281999999999998,0.042
155,0.7255999999999998,0.024
156,0.7245999999999998,0.04
157,0.7217999999999998,0.022
158,0.7203999999999998,0.036
159,0.7161999999999998,0.008
160,0.7147999999999999,0.036
161,0.7115999999999999,0.018
162,0.7093999999999999,0.028
163,0.7043999999999999,0.0
164,0.703,0.036
165,0.7011999999999999,0.032
166,0.698,0.018
167,0.6953999999999999,0.024
168,0.6923999999999999,0.02
169,0.6887999999999999,0.014
170,0.6875999999999999,0.038
171,0.6849999999999998,0.024
172,0.6823999999999998,0.024
173,0.6783999999999998,0.01
174,0.6761999999999998,0.028
175,0.6723999999999998,0.012
176,0.6707999999999997,0.034
177,0.6669999999999997,0.012
178,0.6627999999999997,0.008
179,0.6591999999999997,0.014
180,0.6577999999999997,0.036
181,0.6539999999999997,0.012
182,0.6517999999999997,0.028
183,0.6479999999999997,0.012
184,0.6457999999999997,0.028
185,0.6419999999999997,0.012
186,0.6397999999999997,0.028
187,0.6369999999999997,0.022
188,0.6361999999999997,0.042
189,0.6331999999999997,0.02
190,0.6305999999999996,0.024
191,0.6269999999999996,0.014
192,0.6251999999999995,0.032
193,0.6219999999999996,0.018
194,0.6203999999999995,0.034
195,0.6179999999999995,0.026
196,0.6179999999999995,0.05
197,0.6153999999999995,0.024
198,0.6127999999999995,0.024
199,0.6097999999999995,0.02
200,0.6073999999999995,0.026
201,0.6041999999999995,0.018
202,0.6017999999999996,0.026
203,0.5979999999999995,0.012
204,0.5963999999999995,0.034
205,0.5925999999999995,0.012
206,0.5899999999999994,0.024
207,0.5869999999999994,0.02
208,0.5853999999999994,0.034
209,0.5831999999999994,0.028
210,0.5793999999999994,0.012
211,0.5775999999999993,0.032
212,0.5757999999999993,0.032
213,0.5723999999999994,0.016
214,0.5705999999999993,0.032
215,0.5673999999999993,0.018
216,0.5645999999999993,0.022
217,0.5607999999999993,0.012
218,0.5593999999999993,0.036
219,0.5569999999999994,0.026
220,0.5551999999999994,0.032
221,0.5527999999999994,0.026
222,0.5499999999999994,0.022
223,0.5467999999999994,0.018
224,0.5441999999999994,0.024
225,0.5415999999999993,0.024
226,0.5407999999999993,0.042
227,0.5381999999999992,0.024
228,0.5349999999999993,0.018
229,0.5325999999999993,0.026
230,0.5291999999999993,0.016
231,0.5257999999999994,0.016
232,0.5243999999999994,0.036
233,0.5209999999999995,0.016
234,0.5179999999999995,0.02
235,0.5157999999999995,0.028
236,0.5143999999999995,0.036
237,0.5111999999999995,0.018
238,0.5085999999999995,0.024
239,0.5047999999999995,0.012
240,0.5025999999999995,0.028
241,0.4995999999999995,0.02
242,0.4971999999999995,0.026
243,0.4941999999999995,0.02
244,0.4929999999999995,0.038
245,0.4895999999999995,0.016
246,0.4865999999999995,0.02
247,0.48279999999999945,0.012
248,0.48119999999999946,0.034
249,0.47859999999999947,0.024
250,0.47619999999999946,0.026
251,0.47259999999999946,0.014
252,0.4699999999999995,0.024
253,0.46599999999999947,0.01
254,0.4637999999999995,0.028
255,0.46099999999999947,0.022
