timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-366.57,1.45,0.0129,2.6,1.0000,61.6,100,0
20000,-358.75,3.10,0.0133,2.7,1.0000,58.7,84,16
30000,-338.11,1.67,0.0173,3.5,1.0000,52.6,0,100
40000,-336.75,2.04,0.0159,3.2,1.0000,52.2,0,100
50000,-338.91,2.38,0.0141,2.8,1.0000,51.8,0,100
60000,-332.47,2.59,0.0099,2.0,1.0000,50.8,0,100
70000,-331.23,3.37,0.0039,0.8,1.0000,49.5,0,100
80000,-329.17,2.20,0.0104,2.1,1.0000,49.1,0,100
90000,-328.43,2.47,0.0099,2.0,1.0000,51.0,0,100
100000,-326.51,2.66,0.0100,2.0,1.0000,50.8,0,100
110000,-326.22,2.01,0.0103,2.1,1.0000,49.8,0,100
120000,-326.78,1.64,0.0121,2.4,1.0000,51.0,0,100
130000,-329.07,1.80,0.0129,2.6,1.0000,51.5,0,100
140000,-328.57,1.72,0.0110,2.2,1.0000,50.0,0,100
150000,-328.46,2.17,0.0124,2.5,1.0000,50.9,0,100
