timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,26.17,90.02,0.0605,18.0,nan,nan,nan,nan
20000,52.73,79.62,0.0663,31.4,nan,nan,nan,nan
30000,26.38,80.02,0.0328,4.1,nan,nan,nan,nan
40000,35.10,57.58,0.0238,11.5,nan,nan,nan,nan
50000,-36.37,150.36,0.0344,6.5,nan,nan,nan,nan
60000,46.26,76.14,0.0164,7.9,nan,nan,nan,nan
70000,48.89,16.30,0.0620,31.0,nan,nan,nan,nan
80000,63.23,80.78,0.0437,20.2,nan,nan,nan,nan
90000,172.60,100.86,0.0256,5.4,nan,nan,nan,nan
100000,123.80,120.41,0.0236,7.9,nan,nan,nan,nan
110000,103.80,102.81,0.0272,9.2,nan,nan,nan,nan
120000,40.51,108.37,0.0127,3.8,nan,nan,nan,nan
130000,89.46,122.84,0.0172,6.6,nan,nan,nan,nan
140000,106.73,110.50,0.0312,9.6,nan,nan,nan,nan
150000,106.45,159.50,0.0294,8.7,nan,nan,nan,nan
160000,155.13,116.63,0.0344,12.0,nan,nan,nan,nan
170000,161.76,110.63,0.0281,9.4,nan,nan,nan,nan
180000,201.93,131.15,0.0471,10.1,nan,nan,nan,nan
190000,173.74,146.91,0.0355,7.4,nan,nan,nan,nan
200000,220.37,77.15,0.0470,14.5,nan,nan,nan,nan
210000,193.83,82.35,0.0208,6.8,nan,nan,nan,nan
220000,131.26,83.36,0.0390,17.4,nan,nan,nan,nan
230000,178.96,94.01,0.0283,12.1,nan,nan,nan,nan
240000,204.75,111.71,0.0372,10.3,nan,nan,nan,nan
250000,201.13,131.42,0.0091,2.1,nan,nan,nan,nan
260000,272.72,20.20,0.0344,8.1,nan,nan,nan,nan
270000,230.33,83.19,0.0589,12.5,nan,nan,nan,nan
280000,225.57,84.39,0.0315,7.1,nan,nan,nan,nan
290000,237.49,73.76,0.0266,7.2,nan,nan,nan,nan
300000,231.94,81.95,0.0301,6.6,nan,nan,nan,nan
