timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,11.32,52.24,0.0732,36.6,nan,nan,nan,nan
20000,9.26,58.36,0.2706,135.3,nan,nan,nan,nan
30000,-10.68,47.93,0.0961,48.0,nan,nan,nan,nan
40000,39.27,36.87,0.1793,89.6,nan,nan,nan,nan
50000,14.14,45.76,0.1667,83.4,nan,nan,nan,nan
60000,-23.77,157.24,0.0217,10.7,nan,nan,nan,nan
70000,-8.55,93.66,0.0200,10.0,nan,nan,nan,nan
80000,-101.57,141.58,0.0285,14.3,nan,nan,nan,nan
90000,75.13,28.25,0.0062,3.1,nan,nan,nan,nan
100000,158.29,71.39,0.0211,9.6,nan,nan,nan,nan
110000,182.53,71.79,0.0373,12.5,nan,nan,nan,nan
120000,203.74,60.92,0.0109,3.8,nan,nan,nan,nan
130000,243.43,48.34,0.0439,13.3,nan,nan,nan,nan
140000,243.82,49.87,0.0415,12.1,nan,nan,nan,nan
150000,248.31,29.31,0.0473,14.4,nan,nan,nan,nan
160000,260.79,36.36,0.0745,18.0,nan,nan,nan,nan
170000,256.62,37.48,0.0174,5.1,nan,nan,nan,nan
180000,233.48,52.56,0.0137,4.2,nan,nan,nan,nan
190000,251.80,31.96,0.0456,14.2,nan,nan,nan,nan
200000,242.52,49.52,0.0433,12.5,nan,nan,nan,nan
210000,253.70,45.04,0.0294,7.7,nan,nan,nan,nan
220000,256.93,43.54,0.0213,5.3,nan,nan,nan,nan
230000,229.94,73.37,0.0286,6.9,nan,nan,nan,nan
240000,264.81,36.00,0.0461,10.8,nan,nan,nan,nan
250000,270.16,27.88,0.0111,2.6,nan,nan,nan,nan
260000,219.23,97.63,0.0374,9.1,nan,nan,nan,nan
270000,258.71,33.12,0.0712,18.3,nan,nan,nan,nan
280000,225.70,126.28,0.0447,10.4,nan,nan,nan,nan
290000,265.64,27.31,0.0427,8.8,nan,nan,nan,nan
300000,263.54,32.59,0.0311,6.6,nan,nan,nan,nan
