timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-365.12,2.12,0.0123,2.5,1.0000,62.0,100,0
20000,-356.53,2.40,0.0471,9.4,1.0000,59.2,0,100
30000,-358.28,3.95,0.0334,6.7,1.0000,59.5,42,58
40000,-357.83,3.14,0.0162,3.2,1.0000,58.7,86,14
50000,-354.96,3.32,0.0227,4.5,1.0000,57.0,64,36
60000,-350.94,5.72,0.0259,5.2,1.0000,56.0,50,50
70000,-352.74,3.37,0.0183,3.7,1.0000,56.2,76,24
80000,-351.19,5.99,0.0222,4.4,1.0000,56.0,58,42
90000,-351.77,3.94,0.0173,3.5,1.0000,58.4,80,20
100000,-349.41,2.36,0.0191,3.8,1.0000,56.5,76,24
110000,-349.62,4.63,0.0200,4.0,1.0000,56.5,64,36
120000,-348.67,4.47,0.0202,4.0,1.0000,55.4,60,40
130000,-348.76,4.14,0.0180,3.6,1.0000,56.3,70,30
140000,-349.73,4.14,0.0183,3.7,1.0000,57.3,68,32
150000,-348.39,3.76,0.0202,4.0,1.0000,56.7,72,28
