timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,26.23,109.72,0.0637,31.8,nan,nan,nan,nan
20000,29.55,140.15,0.0351,17.5,nan,nan,nan,nan
30000,36.93,216.35,0.0225,11.3,nan,nan,nan,nan
40000,58.59,40.92,0.0418,20.9,nan,nan,nan,nan
50000,66.74,23.00,0.0123,6.1,nan,nan,nan,nan
60000,67.80,18.56,0.0176,8.8,nan,nan,nan,nan
70000,68.55,16.65,0.0167,8.3,nan,nan,nan,nan
80000,32.38,62.70,0.0207,10.4,nan,nan,nan,nan
90000,50.88,49.60,0.0165,8.2,nan,nan,nan,nan
100000,71.20,22.49,0.0276,13.8,nan,nan,nan,nan
110000,78.11,19.35,0.0179,8.9,nan,nan,nan,nan
120000,63.19,43.70,0.0138,6.9,nan,nan,nan,nan
130000,81.26,22.66,0.0286,14.3,nan,nan,nan,nan
140000,80.66,20.37,0.0408,20.4,nan,nan,nan,nan
150000,33.90,132.22,0.0228,11.4,nan,nan,nan,nan
160000,89.96,50.79,0.0196,9.5,nan,nan,nan,nan
170000,85.84,22.74,0.0071,3.5,nan,nan,nan,nan
180000,84.15,25.37,0.0230,11.5,nan,nan,nan,nan
190000,74.16,32.13,0.0153,7.7,nan,nan,nan,nan
200000,66.86,33.51,0.0259,13.0,nan,nan,nan,nan
210000,105.97,61.83,0.0223,10.6,nan,nan,nan,nan
220000,76.14,20.39,0.0272,13.6,nan,nan,nan,nan
230000,89.66,37.32,0.0121,6.0,nan,nan,nan,nan
240000,103.33,62.82,0.0145,6.8,nan,nan,nan,nan
250000,98.25,70.51,0.0055,2.7,nan,nan,nan,nan
260000,98.81,81.70,0.0209,9.5,nan,nan,nan,nan
270000,84.10,33.21,0.0188,9.4,nan,nan,nan,nan
280000,87.53,20.88,0.0192,9.6,nan,nan,nan,nan
290000,105.04,43.49,0.0167,8.3,nan,nan,nan,nan
300000,99.25,48.94,0.0174,8.7,nan,nan,nan,nan
