timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-124.33,111.91,0.0000,0.0,nan,nan,nan,nan
20000,-104.59,93.97,0.0309,9.5,nan,nan,nan,nan
30000,-53.95,64.48,0.0108,4.1,nan,nan,nan,nan
40000,1.51,42.05,0.0522,26.0,nan,nan,nan,nan
50000,-17.42,19.99,0.1749,87.5,nan,nan,nan,nan
60000,5.26,35.56,0.1120,55.8,nan,nan,nan,nan
70000,-80.20,140.43,0.0231,10.4,nan,nan,nan,nan
80000,-2.49,64.60,0.0178,5.9,nan,nan,nan,nan
90000,-21.58,80.62,0.0090,4.3,nan,nan,nan,nan
100000,3.20,36.88,0.0000,0.0,nan,nan,nan,nan
110000,12.43,43.05,0.0628,31.4,nan,nan,nan,nan
120000,40.40,69.63,0.0024,1.2,nan,nan,nan,nan
130000,73.68,49.66,0.0335,16.4,nan,nan,nan,nan
140000,100.48,49.79,0.0220,10.8,nan,nan,nan,nan
150000,139.07,54.56,0.0294,13.0,nan,nan,nan,nan
160000,118.98,102.35,0.0344,7.6,nan,nan,nan,nan
170000,174.06,129.35,0.0129,3.6,nan,nan,nan,nan
180000,178.65,106.64,0.0394,8.6,nan,nan,nan,nan
190000,97.24,110.21,0.0244,11.4,nan,nan,nan,nan
200000,68.43,82.59,0.0546,26.5,nan,nan,nan,nan
210000,77.83,110.15,0.0181,7.9,nan,nan,nan,nan
220000,71.04,128.28,0.0189,3.4,nan,nan,nan,nan
230000,143.97,111.93,0.0167,5.0,nan,nan,nan,nan
240000,127.01,114.28,0.0229,8.0,nan,nan,nan,nan
250000,97.11,143.36,0.0098,2.8,nan,nan,nan,nan
260000,101.34,116.24,0.0348,12.6,nan,nan,nan,nan
270000,148.36,116.70,0.0420,14.6,nan,nan,nan,nan
280000,177.84,120.03,0.0195,7.3,nan,nan,nan,nan
290000,89.01,167.51,0.0323,10.3,nan,nan,nan,nan
300000,146.10,131.09,0.0753,26.2,nan,nan,nan,nan
