update,alpha,constraint_C
0,0.9966,0.066
1,0.995,0.084
2,0.9904,0.054
3,0.9865999999999999,0.062
4,0.9799999999999999,0.034
5,0.9751999999999998,0.052
6,0.9685999999999998,0.034
7,0.9635999999999998,0.05
8,0.9559999999999997,0.024
9,0.9459999999999997,0.0
10,0.9395999999999998,0.036
11,0.9349999999999997,0.054
12,0.9281999999999997,0.032
13,0.9181999999999997,0.0
14,0.9171999999999997,0.09
15,0.9071999999999997,0.0
16,0.9003999999999996,0.032
17,0.8903999999999996,0.0
18,0.8813999999999996,0.01
19,0.8713999999999996,0.0
20,0.8613999999999996,0.0
21,0.8513999999999996,0.0
22,0.8493999999999996,0.08
23,0.8393999999999996,0.0
24,0.8359999999999996,0.066
25,0.8259999999999996,0.0
26,0.8159999999999996,0.0
27,0.8059999999999996,0.0
28,0.7959999999999996,0.0
29,0.7915999999999996,0.056
30,0.7827999999999996,0.012
31,0.7727999999999996,0.0
32,0.7701999999999996,0.074
33,0.7601999999999995,0.0
34,0.7501999999999995,0.0
35,0.7433999999999995,0.032
36,0.7333999999999995,0.0
37,0.7233999999999995,0.0
38,0.7133999999999995,0.0
39,0.7097999999999994,0.064
40,0.6997999999999994,0.0
41,0.6897999999999994,0.0
42,0.6797999999999994,0.0
43,0.6697999999999994,0.0
44,0.6597999999999994,0.0
45,0.6497999999999994,0.0
46,0.6397999999999994,0.0
47,0.6327999999999994,0.03
48,0.6275999999999994,0.048
49,0.6175999999999994,0.0
50,0.6125999999999994,0.05
51,0.6025999999999994,0.0
52,0.5941999999999994,0.016
53,0.5841999999999994,0.0
54,0.5755999999999993,0.014
55,0.5655999999999993,0.0
56,0.5567999999999993,0.012
57,0.5467999999999993,0.0
58,0.5367999999999993,0.0
59,0.5267999999999993,0.0
60,0.5167999999999993,0.0
61,0.5067999999999993,0.0
62,0.49679999999999924,0.0
63,0.48679999999999923,0.0
64,0.4767999999999992,0.0
65,0.4667999999999992,0.0
66,0.4567999999999992,0.0
67,0.4467999999999992,0.0
68,0.4367999999999992,0.0
69,0.4267999999999992,0.0
70,0.41679999999999917,0.0
71,0.40679999999999916,0.0
72,0.39679999999999915,0.0
73,0.38679999999999914,0.0
74,0.37679999999999914,0.0
75,0.3667999999999991,0.0
76,0.3567999999999991,0.0
77,0.3467999999999991,0.0
78,0.3367999999999991,0.0
79,0.3267999999999991,0.0
80,0.3167999999999991,0.0
81,0.3067999999999991,0.0
82,0.29679999999999906,0.0
83,0.28679999999999906,0.0
84,0.27679999999999905,0.0
85,0.26759999999999906,0.008
86,0.25759999999999905,0.0
87,0.24759999999999904,0.0
88,0.23759999999999903,0.0
89,0.22799999999999904,0.004
90,0.21799999999999903,0.0
91,0.20799999999999902,0.0
92,0.197999999999999,0.0
93,0.187999999999999,0.0
94,0.177999999999999,0.0
95,0.170399999999999,0.024
96,0.160399999999999,0.0
97,0.152599999999999,0.022
98,0.14539999999999897,0.028
99,0.14019999999999896,0.048
100,0.13399999999999895,0.038
101,0.13199999999999895,0.08
102,0.12199999999999894,0.0
103,0.11199999999999893,0.0
104,0.10439999999999894,0.024
105,0.09439999999999893,0.0
106,0.08439999999999892,0.0
107,0.07539999999999891,0.01
108,0.07299999999999891,0.076
109,0.06679999999999892,0.038
110,0.05819999999999891,0.014
111,0.05079999999999891,0.026
112,0.04739999999999891,0.066
113,0.038799999999998905,0.014
114,0.029799999999998904,0.01
115,0.020599999999998904,0.008
116,0.012799999999998903,0.022
117,0.0035999999999989027,0.008
