update,alpha,constraint_C
0,1.0048,0.098
1,1.004,0.042
2,1.0046,0.056
3,1.0138,0.142
4,1.064,0.552
5,1.1278000000000001,0.688
6,1.1796000000000002,0.568
7,1.1976000000000002,0.23
8,1.2054000000000002,0.128
9,1.2252000000000003,0.248
10,1.2342000000000002,0.14
11,1.2368000000000001,0.076
12,1.2392,0.074
13,1.2436,0.094
14,1.2458,0.072
15,1.2448000000000001,0.04
16,1.2512,0.114
17,1.2534,0.072
18,1.256,0.076
19,1.2544,0.034
20,1.2593999999999999,0.1
21,1.2593999999999999,0.05
22,1.263,0.086
23,1.2635999999999998,0.056
24,1.2693999999999999,0.108
25,1.2644,0.0
26,1.2693999999999999,0.1
27,1.2726,0.082
28,1.2744,0.068
29,1.275,0.056
30,1.2777999999999998,0.078
31,1.2793999999999999,0.066
32,1.2833999999999999,0.09
33,1.283,0.046
34,1.2882,0.102
35,1.2918,0.086
36,1.3,0.132
37,1.3018,0.068
38,1.3064,0.096
39,1.3044,0.03
40,1.3078,0.084
41,1.3088,0.06
42,1.3122,0.084
43,1.3152,0.08
44,1.3201999999999998,0.1
45,1.3235999999999999,0.084
46,1.3268,0.082
47,1.327,0.052
48,1.3296,0.076
49,1.3316,0.07
50,1.333,0.064
51,1.3306,0.026
52,1.3348,0.092
53,1.3376,0.078
54,1.3425999999999998,0.1
55,1.3427999999999998,0.052
56,1.3449999999999998,0.072
57,1.3463999999999998,0.064
58,1.3501999999999998,0.088
59,1.3496,0.044
60,1.3508,0.062
61,1.349,0.032
62,1.3512,0.072
63,1.3496,0.034
64,1.353,0.084
65,1.3546,0.066
66,1.3618000000000001,0.122
67,1.3626,0.058
68,1.3644,0.068
69,1.3696000000000002,0.102
70,1.3706,0.06
71,1.3704,0.048
72,1.372,0.066
73,1.3706,0.036
74,1.3742,0.086
75,1.3746,0.054
76,1.3736000000000002,0.04
77,1.3724,0.038
78,1.3796000000000002,0.122
79,1.3800000000000001,0.054
80,1.3826,0.076
81,1.3844,0.068
82,1.3858000000000001,0.064
83,1.3884,0.076
84,1.3912,0.078
85,1.3926,0.064
86,1.397,0.094
87,1.3984,0.064
88,1.4034,0.1
89,1.4043999999999999,0.06
90,1.4098,0.104
