timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,1.94,25.93,0.0476,23.8,nan,nan,nan,nan
20000,65.33,114.83,0.0632,26.8,nan,nan,nan,nan
30000,-29.54,367.06,0.0486,14.7,nan,nan,nan,nan
40000,238.62,91.10,0.0392,9.7,nan,nan,nan,nan
50000,145.18,130.18,0.0183,5.9,nan,nan,nan,nan
60000,226.73,88.62,0.0272,5.8,nan,nan,nan,nan
70000,249.34,35.18,0.0378,9.0,nan,nan,nan,nan
80000,236.39,53.19,0.0396,10.1,nan,nan,nan,nan
90000,207.48,70.01,0.0310,7.9,nan,nan,nan,nan
100000,241.70,47.33,0.0379,9.0,nan,nan,nan,nan
110000,225.63,67.64,0.0400,9.1,nan,nan,nan,nan
120000,250.66,52.66,0.0150,3.8,nan,nan,nan,nan
130000,260.37,53.81,0.0422,8.8,nan,nan,nan,nan
140000,275.28,17.37,0.0482,10.3,nan,nan,nan,nan
150000,263.94,43.50,0.0334,7.5,nan,nan,nan,nan
160000,268.17,26.13,0.0453,10.1,nan,nan,nan,nan
170000,256.14,64.71,0.0154,3.9,nan,nan,nan,nan
180000,259.86,40.34,0.0490,9.5,nan,nan,nan,nan
190000,268.15,41.34,0.0336,6.8,nan,nan,nan,nan
200000,262.68,76.22,0.0597,11.5,nan,nan,nan,nan
210000,261.07,46.92,0.0250,4.7,nan,nan,nan,nan
220000,278.15,21.48,0.0272,5.2,nan,nan,nan,nan
230000,279.33,25.37,0.0349,7.4,nan,nan,nan,nan
240000,279.13,23.41,0.0391,7.4,nan,nan,nan,nan
250000,275.82,28.91,0.0132,2.4,nan,nan,nan,nan
260000,278.78,25.49,0.0416,7.5,nan,nan,nan,nan
270000,278.34,17.55,0.0535,9.6,nan,nan,nan,nan
280000,279.30,20.96,0.0333,6.2,nan,nan,nan,nan
290000,278.47,25.04,0.0307,5.5,nan,nan,nan,nan
300000,274.91,22.08,0.0306,5.7,nan,nan,nan,nan
