timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-363.01,1.62,0.0110,2.2,1.0000,59.6,100,0
20000,-360.48,3.85,0.0208,4.2,1.0000,60.5,64,36
30000,-359.28,1.61,0.0112,2.2,1.0000,61.5,100,0
40000,-356.11,2.29,0.0109,2.2,1.0000,58.0,100,0
50000,-355.26,2.68,0.0183,3.7,1.0000,56.7,64,36
60000,-355.04,2.32,0.0203,4.1,1.0000,56.9,56,44
70000,-352.29,3.75,0.0167,3.3,1.0000,55.8,74,26
80000,-350.44,4.00,0.0167,3.3,1.0000,55.4,38,62
90000,-343.32,1.84,0.0173,3.5,1.0000,53.0,0,100
100000,-345.38,2.71,0.0200,4.0,1.0000,54.7,0,100
110000,-340.93,1.48,0.0186,3.7,1.0000,56.0,0,100
120000,-340.57,1.13,0.0221,4.4,1.0000,54.8,0,100
130000,-341.38,1.37,0.0157,3.1,1.0000,55.0,0,100
140000,-339.72,1.22,0.0196,3.9,1.0000,54.1,0,100
150000,-339.59,1.25,0.0193,3.9,1.0000,55.0,0,100
