timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-366.25,4.76,0.0434,8.7,1.0000,65.1,20,80
20000,-363.62,1.84,0.0114,2.3,1.0000,61.2,100,0
30000,-360.21,2.06,0.0145,2.9,1.0000,60.2,88,12
40000,-361.47,1.95,0.0163,3.3,1.0000,60.0,88,12
50000,-356.05,1.54,0.0175,3.5,1.0000,57.8,84,16
60000,-354.79,1.14,0.0116,2.3,1.0000,56.1,98,2
70000,-351.76,2.26,0.0110,2.2,1.0000,56.4,98,2
80000,-351.75,1.66,0.0102,2.0,1.0000,56.2,100,0
90000,-349.63,2.05,0.0109,2.2,1.0000,55.0,98,2
100000,-346.37,2.06,0.0100,2.0,1.0000,54.1,100,0
110000,-346.57,2.54,0.0144,2.9,1.0000,56.1,92,8
120000,-344.34,1.77,0.0130,2.6,1.0000,54.8,100,0
130000,-342.58,2.21,0.0111,2.2,1.0000,54.6,100,0
140000,-342.17,1.96,0.0100,2.0,1.0000,52.8,100,0
150000,-339.78,1.66,0.0105,2.1,1.0000,52.4,100,0
