timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,15.77,59.01,0.0606,28.5,nan,nan,nan,nan
20000,109.34,104.04,0.0951,40.5,nan,nan,nan,nan
30000,155.26,106.20,0.0308,12.8,nan,nan,nan,nan
40000,110.21,138.20,0.0357,6.1,nan,nan,nan,nan
50000,64.36,86.98,0.0130,6.3,nan,nan,nan,nan
60000,183.60,95.89,0.0214,7.5,nan,nan,nan,nan
70000,181.35,81.83,0.0126,5.2,nan,nan,nan,nan
80000,118.15,80.15,0.0205,10.1,nan,nan,nan,nan
90000,190.45,79.46,0.0138,3.9,nan,nan,nan,nan
100000,235.03,68.06,0.0398,10.0,nan,nan,nan,nan
110000,230.03,66.20,0.0495,12.6,nan,nan,nan,nan
120000,201.22,82.54,0.0435,15.5,nan,nan,nan,nan
130000,193.32,88.53,0.0172,4.8,nan,nan,nan,nan
140000,223.08,76.31,0.0157,4.6,nan,nan,nan,nan
150000,227.76,83.51,0.0237,7.1,nan,nan,nan,nan
160000,243.37,40.30,0.0244,8.8,nan,nan,nan,nan
170000,228.29,62.64,0.0126,5.1,nan,nan,nan,nan
180000,249.37,35.03,0.0227,7.7,nan,nan,nan,nan
190000,223.81,58.73,0.0168,6.1,nan,nan,nan,nan
200000,214.06,77.31,0.0437,12.4,nan,nan,nan,nan
210000,232.99,52.15,0.0057,1.5,nan,nan,nan,nan
220000,215.91,92.77,0.0172,4.6,nan,nan,nan,nan
230000,243.09,51.24,0.0231,6.7,nan,nan,nan,nan
240000,228.48,81.39,0.0319,8.2,nan,nan,nan,nan
250000,217.24,64.42,0.0136,3.9,nan,nan,nan,nan
260000,253.75,48.48,0.0379,10.0,nan,nan,nan,nan
270000,260.04,18.75,0.0617,17.1,nan,nan,nan,nan
280000,259.79,46.63,0.0397,10.1,nan,nan,nan,nan
290000,268.04,23.19,0.0384,8.1,nan,nan,nan,nan
300000,269.79,20.33,0.0325,7.7,nan,nan,nan,nan
