update,alpha,constraint_C
0,1.0136,0.156
1,1.0208000000000002,0.092
2,1.0200000000000002,0.012
3,1.0212000000000003,0.032
4,1.0458000000000003,0.266
5,1.0774000000000004,0.336
6,1.0936000000000003,0.182
7,1.1052000000000004,0.136
8,1.1052000000000004,0.02
9,1.1074000000000004,0.042
10,1.1108000000000005,0.054
11,1.1098000000000006,0.01
12,1.1128000000000005,0.05
13,1.1126000000000005,0.018
14,1.1116000000000006,0.01
15,1.1110000000000007,0.014
16,1.1110000000000007,0.02
17,1.1128000000000007,0.038
18,1.1166000000000007,0.058
19,1.1186000000000007,0.04
20,1.1182000000000007,0.016
21,1.1182000000000007,0.02
22,1.1192000000000006,0.03
23,1.1200000000000006,0.028
24,1.1208000000000005,0.028
25,1.1236000000000004,0.048
26,1.1244000000000003,0.028
27,1.1250000000000002,0.026
28,1.1246000000000003,0.016
29,1.1248000000000002,0.022
30,1.1280000000000003,0.052
31,1.1298000000000004,0.038
32,1.1298000000000004,0.02
33,1.1314000000000004,0.036
34,1.1344000000000003,0.05
35,1.1354000000000002,0.03
36,1.1396000000000002,0.062
37,1.1398000000000001,0.022
38,1.1398000000000001,0.02
39,1.1410000000000002,0.032
40,1.1424000000000003,0.034
41,1.1428000000000003,0.024
42,1.1446000000000003,0.038
43,1.1472000000000002,0.046
44,1.1512000000000002,0.06
45,1.1506000000000003,0.014
46,1.1520000000000004,0.034
47,1.1504000000000003,0.004
48,1.1500000000000004,0.016
49,1.1506000000000003,0.026
50,1.1516000000000002,0.03
51,1.1532000000000002,0.036
52,1.1540000000000001,0.028
53,1.1532000000000002,0.012
54,1.1550000000000002,0.038
55,1.1542000000000003,0.012
56,1.1564000000000003,0.042
57,1.1562000000000003,0.018
58,1.1566000000000003,0.024
59,1.1578000000000004,0.032
60,1.1594000000000004,0.036
61,1.1600000000000004,0.026
62,1.1600000000000004,0.02
63,1.1600000000000004,0.02
64,1.1618000000000004,0.038
65,1.1618000000000004,0.02
66,1.1616000000000004,0.018
67,1.1612000000000005,0.016
68,1.1634000000000004,0.042
69,1.1638000000000004,0.024
70,1.1662000000000003,0.044
71,1.1670000000000003,0.028
72,1.1674000000000002,0.024
73,1.1678000000000002,0.024
74,1.1680000000000001,0.022
75,1.1678000000000002,0.018
76,1.1690000000000003,0.032
77,1.1690000000000003,0.02
78,1.1698000000000002,0.028
79,1.1700000000000002,0.022
80,1.1722000000000001,0.042
81,1.1724,0.022
82,1.1724,0.02
83,1.1718000000000002,0.014
84,1.1716000000000002,0.018
85,1.1728000000000003,0.032
86,1.1746000000000003,0.038
87,1.1734000000000002,0.008
88,1.1736000000000002,0.022
89,1.1728000000000003,0.012
90,1.1744000000000003,0.036
91,1.1742000000000004,0.018
92,1.1754000000000004,0.032
93,1.1740000000000004,0.006
94,1.1740000000000004,0.02
95,1.1740000000000004,0.02
96,1.1744000000000003,0.024
97,1.1732000000000002,0.008
98,1.1736000000000002,0.024
99,1.1728000000000003,0.012
