timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-366.07,1.93,0.0576,11.5,1.0000,61.7,0,100
20000,-355.74,3.81,0.0199,4.0,1.0000,60.7,80,20
30000,-356.58,1.30,0.0512,10.2,1.0000,57.1,0,100
40000,-357.96,2.33,0.0394,7.9,1.0000,56.1,16,84
50000,-359.63,3.78,0.0225,4.5,1.0000,60.0,64,36
60000,-358.41,3.30,0.0168,3.4,1.0000,60.2,84,16
70000,-354.36,2.60,0.0175,3.5,1.0000,57.0,84,16
80000,-353.16,3.49,0.0192,3.8,1.0000,56.2,74,26
90000,-356.42,4.29,0.0152,3.0,1.0000,59.0,88,12
100000,-350.56,3.69,0.0173,3.5,1.0000,58.1,72,28
110000,-347.32,6.32,0.0213,4.3,1.0000,57.5,62,38
120000,-347.16,5.90,0.0180,3.6,1.0000,57.9,66,34
130000,-348.13,5.18,0.0166,3.3,1.0000,57.6,74,26
140000,-344.68,6.55,0.0209,4.2,1.0000,55.0,46,54
150000,-343.54,6.94,0.0209,4.2,1.0000,54.4,44,56
