timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-368.83,1.33,0.0120,2.4,1.0000,64.2,100,0
20000,-352.01,6.16,0.0205,4.1,1.0000,57.4,42,58
30000,-359.75,6.83,0.0141,2.8,1.0000,61.5,78,22
40000,-346.49,3.13,0.0147,2.9,1.0000,53.9,0,100
50000,-344.61,2.41,0.0172,3.4,1.0000,53.9,0,100
60000,-338.58,2.68,0.0114,2.3,1.0000,52.7,0,100
70000,-334.43,4.66,0.0131,2.6,1.0000,51.9,0,100
80000,-329.93,3.59,0.0093,1.9,1.0000,51.1,0,100
90000,-327.62,1.96,0.0088,1.8,1.0000,50.8,0,100
100000,-330.36,2.12,0.0022,0.4,1.0000,50.0,0,100
110000,-325.54,3.43,0.0100,2.0,1.0000,50.4,0,100
120000,-325.68,3.05,0.0108,2.2,1.0000,50.3,0,100
130000,-335.27,1.64,0.0124,2.5,1.0000,50.0,0,100
140000,-323.83,1.98,0.0100,2.0,1.0000,50.0,0,100
150000,-323.83,1.39,0.0119,2.4,1.0000,50.0,0,100
