timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-363.83,2.24,0.0123,2.5,1.0000,60.3,100,0
20000,-358.85,1.76,0.0444,8.9,1.0000,60.8,0,100
30000,-370.25,2.11,0.0244,4.9,1.0000,61.0,62,38
40000,-361.46,2.43,0.0199,4.0,1.0000,60.2,76,24
50000,-354.78,3.91,0.0220,4.4,1.0000,58.2,78,22
60000,-356.72,1.48,0.0127,2.5,1.0000,59.5,100,0
70000,-354.29,2.51,0.0105,2.1,1.0000,58.6,100,0
80000,-347.44,2.65,0.0124,2.5,1.0000,55.9,100,0
90000,-346.19,2.65,0.0106,2.1,1.0000,55.7,100,0
100000,-342.16,2.52,0.0107,2.1,1.0000,55.6,100,0
110000,-341.83,2.67,0.0101,2.0,1.0000,55.4,100,0
120000,-340.16,2.41,0.0149,3.0,1.0000,55.3,100,0
130000,-339.34,1.69,0.0102,2.0,1.0000,55.9,100,0
140000,-339.56,1.29,0.0100,2.0,1.0000,55.0,100,0
150000,-339.52,1.62,0.0123,2.5,1.0000,56.1,100,0
