step,alpha,constraint_C
500,5.3379,0.0438
1000,5.3851,0.0147
1500,5.3005,0.0015
2000,5.2005,0.0000
2500,5.3292,0.0229
3000,5.2292,0.0000
3500,5.1292,0.0000
4000,5.4238,0.0395
4500,5.3405,0.0017
5000,5.2405,0.0000
5500,5.1405,0.0000
6000,5.0405,0.0000
6500,4.9405,0.0000
7000,4.8405,0.0000
7500,4.7405,0.0000
8000,4.6405,0.0000
8500,4.5405,0.0000
9000,4.4405,0.0000
9500,4.3405,0.0000
10000,4.2405,0.0000
10500,4.1405,0.0000
11000,4.0405,0.0000
11500,4.2542,0.0314
12000,4.5238,0.0370
12500,5.7927,0.1369
13000,5.6927,0.0000
13500,5.9143,0.0322
14000,6.2230,0.0409
14500,6.1809,0.0058
15000,6.4683,0.0387
15500,6.3683,0.0000
16000,6.2683,0.0000
16500,6.1683,0.0000
17000,6.0683,0.0000
17500,6.1118,0.0143
18000,6.4639,0.0452
18500,6.3639,0.0000
19000,6.9252,0.0661
19500,6.8252,0.0000
20000,7.1064,0.0381
20500,7.1155,0.0109
21000,7.0155,0.0000
21500,6.9155,0.0000
22000,6.8965,0.0081
22500,6.9119,0.0115
23000,6.8119,0.0000
23500,7.3471,0.0635
24000,7.2471,0.0000
24500,7.1471,0.0000
25000,7.0471,0.0000
25500,6.9471,0.0000
26000,6.8471,0.0000
26500,6.7598,0.0013
27000,7.6161,0.0956
27500,7.5237,0.0008
28000,8.4942,0.1071
28500,8.3942,0.0000
29000,8.2942,0.0000
29500,8.3582,0.0164
30000,8.3882,0.0130
30500,8.2882,0.0000
31000,8.6020,0.0414
31500,8.5238,0.0022
32000,8.7485,0.0325
32500,8.6485,0.0000
33000,8.5485,0.0000
33500,8.4485,0.0000
34000,8.3485,0.0000
34500,8.2485,0.0000
35000,8.1485,0.0000
35500,8.0485,0.0000
36000,7.9485,0.0000
36500,7.8645,0.0016
37000,7.7645,0.0000
37500,7.6645,0.0000
38000,7.5645,0.0000
38500,7.4645,0.0000
39000,7.3645,0.0000
39500,7.2645,0.0000
40000,7.1645,0.0000
40500,7.0645,0.0000
41000,6.9645,0.0000
41500,6.8645,0.0000
42000,6.7645,0.0000
42500,6.6645,0.0000
43000,6.5645,0.0000
43500,6.4645,0.0000
44000,6.3645,0.0000
44500,6.2645,0.0000
45000,6.1645,0.0000
45500,6.0645,0.0000
46000,5.9645,0.0000
46500,5.8645,0.0000
47000,5.7645,0.0000
47500,5.6645,0.0000
48000,5.5645,0.0000
48500,5.4645,0.0000
49000,5.3645,0.0000
49500,5.2645,0.0000
50000,5.1645,0.0000
50500,5.0645,0.0000
51000,4.9774,0.0013
51500,5.2926,0.0415
52000,5.1926,0.0000
52500,5.0926,0.0000
53000,4.9926,0.0000
53500,4.8926,0.0000
54000,4.7926,0.0000
54500,4.6926,0.0000
55000,4.5926,0.0000
55500,4.4926,0.0000
56000,4.3926,0.0000
56500,4.2926,0.0000
57000,4.1926,0.0000
57500,4.0926,0.0000
58000,3.9926,0.0000
58500,3.8926,0.0000
59000,3.7926,0.0000
59500,3.6926,0.0000
60000,3.5926,0.0000
60500,3.4926,0.0000
61000,3.3926,0.0000
61500,3.2926,0.0000
62000,3.1926,0.0000
62500,3.0926,0.0000
63000,2.9926,0.0000
63500,2.8926,0.0000
64000,2.7926,0.0000
64500,2.6926,0.0000
65000,2.5926,0.0000
65500,2.4926,0.0000
66000,2.3926,0.0000
66500,2.2926,0.0000
67000,2.1926,0.0000
67500,2.0926,0.0000
68000,1.9926,0.0000
68500,1.8926,0.0000
69000,1.7926,0.0000
69500,1.6926,0.0000
70000,1.5926,0.0000
70500,1.4926,0.0000
71000,1.3926,0.0000
71500,1.2926,0.0000
72000,1.1926,0.0000
72500,1.0926,0.0000
73000,0.9926,0.0000
73500,0.9328,0.0040
74000,0.8328,0.0000
74500,0.7328,0.0000
75000,0.6328,0.0000
75500,0.5328,0.0000
76000,0.4328,0.0000
76500,0.3328,0.0000
77000,0.2328,0.0000
77500,0.1328,0.0000
78000,0.1430,0.0110
78500,0.2962,0.0253
79000,0.1962,0.0000
79500,0.0962,0.0000
80000,0.0000,0.0000
80500,0.0000,0.0000
81000,0.0000,0.0000
81500,0.0000,0.0000
82000,0.0000,0.0000
82500,0.0000,0.0000
83000,0.0000,0.0000
83500,0.0000,0.0000
84000,0.0000,0.0000
84500,0.0000,0.0000
85000,0.0000,0.0000
85500,0.0000,0.0000
86000,0.0000,0.0000
86500,0.0000,0.0000
87000,0.0000,0.0000
87500,0.0000,0.0000
88000,0.0000,0.0000
88500,0.0000,0.0000
89000,0.0000,0.0000
89500,0.0000,0.0000
90000,0.0000,0.0000
90500,0.0000,0.0000
91000,0.0000,0.0000
91500,0.0000,0.0000
92000,0.0000,0.0000
92500,0.0000,0.0000
93000,0.0000,0.0000
93500,0.0000,0.0000
94000,0.0000,0.0000
94500,0.0000,0.0000
95000,0.0000,0.0000
