timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-1174.21,1.67,0.0000,0.0,0.0000,200.0,100,0
20000,-1548.06,1.29,0.0845,16.9,1.0000,55.0,100,0
30000,-1055.48,5.06,0.0000,0.0,0.0000,200.0,0,100
40000,-760.31,2.37,0.0210,4.2,1.0000,89.8,0,100
50000,-500.16,1.81,0.0000,0.0,1.0000,86.0,0,100
60000,-353.15,1.57,0.0000,0.0,1.0000,56.0,0,100
70000,-355.60,1.61,0.0000,0.0,1.0000,57.0,0,100
80000,-350.76,0.99,0.0000,0.0,1.0000,58.1,0,100
90000,-347.29,1.14,0.0000,0.0,1.0000,58.0,0,100
100000,-345.79,1.45,0.0000,0.0,1.0000,58.0,0,100
110000,-352.88,2.21,0.0000,0.0,1.0000,57.8,0,100
120000,-353.76,3.66,0.0003,0.1,1.0000,59.0,2,98
130000,-366.88,12.55,0.0100,2.0,0.2800,160.2,72,28
140000,-343.03,1.72,0.0000,0.0,1.0000,56.8,0,100
150000,-342.25,1.32,0.0000,0.0,1.0000,57.0,0,100
