timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-63.31,101.22,0.0924,45.7,nan,nan,nan,nan
20000,-140.52,132.92,0.0588,9.7,nan,nan,nan,nan
30000,36.40,58.91,0.0462,19.1,nan,nan,nan,nan
40000,53.71,18.68,0.0136,6.8,nan,nan,nan,nan
50000,31.37,20.76,0.0456,22.8,nan,nan,nan,nan
60000,54.52,20.60,0.2133,106.6,nan,nan,nan,nan
70000,26.27,50.65,0.1143,57.2,nan,nan,nan,nan
80000,43.46,25.37,0.1685,84.3,nan,nan,nan,nan
90000,-13.64,119.40,0.0369,17.9,nan,nan,nan,nan
100000,33.16,46.05,0.0202,10.1,nan,nan,nan,nan
110000,-123.43,110.04,0.0320,8.4,nan,nan,nan,nan
120000,-117.73,137.71,0.0218,10.7,nan,nan,nan,nan
130000,-50.85,79.47,0.1070,53.5,nan,nan,nan,nan
140000,-5.88,84.05,0.0706,35.3,nan,nan,nan,nan
150000,28.76,62.27,0.0703,35.2,nan,nan,nan,nan
160000,-89.67,115.79,0.0542,14.5,nan,nan,nan,nan
170000,52.59,26.76,0.0450,21.3,nan,nan,nan,nan
180000,-29.58,278.36,0.0333,12.6,nan,nan,nan,nan
190000,-32.23,100.99,0.0352,7.7,nan,nan,nan,nan
200000,57.82,59.72,0.0519,24.9,nan,nan,nan,nan
210000,5.45,75.32,0.0257,11.5,nan,nan,nan,nan
220000,30.87,65.08,0.0135,6.7,nan,nan,nan,nan
230000,50.46,29.10,0.0271,13.6,nan,nan,nan,nan
240000,54.79,45.81,0.0635,29.7,nan,nan,nan,nan
250000,59.62,53.23,0.0381,18.0,nan,nan,nan,nan
260000,40.16,57.05,0.0646,32.3,nan,nan,nan,nan
270000,57.65,17.46,0.0394,19.7,nan,nan,nan,nan
280000,61.81,19.45,0.0435,21.8,nan,nan,nan,nan
290000,121.33,71.94,0.0124,6.1,nan,nan,nan,nan
300000,182.94,80.77,0.0141,5.4,nan,nan,nan,nan
