timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-73.54,94.04,0.0496,24.1,nan,nan,nan,nan
20000,-2.38,65.67,0.2405,120.3,nan,nan,nan,nan
30000,140.33,126.34,0.0130,5.0,nan,nan,nan,nan
40000,79.55,68.03,0.0251,12.5,nan,nan,nan,nan
50000,73.02,107.14,0.0218,10.9,nan,nan,nan,nan
60000,46.21,140.69,0.0202,10.1,nan,nan,nan,nan
70000,46.21,115.98,0.0184,8.7,nan,nan,nan,nan
80000,70.63,67.56,0.0177,8.5,nan,nan,nan,nan
90000,17.13,39.08,0.0130,6.4,nan,nan,nan,nan
100000,16.19,92.91,0.0218,10.9,nan,nan,nan,nan
110000,113.46,84.50,0.0163,7.6,nan,nan,nan,nan
120000,89.94,89.95,0.0108,5.4,nan,nan,nan,nan
130000,123.30,106.16,0.0098,4.6,nan,nan,nan,nan
140000,160.35,85.97,0.0197,9.4,nan,nan,nan,nan
150000,130.44,103.36,0.0258,8.8,nan,nan,nan,nan
160000,122.19,80.04,0.0287,12.5,nan,nan,nan,nan
170000,64.95,93.67,0.0064,3.2,nan,nan,nan,nan
180000,173.66,88.28,0.0402,10.1,nan,nan,nan,nan
190000,210.35,76.40,0.0299,9.2,nan,nan,nan,nan
200000,228.00,58.38,0.0588,17.0,nan,nan,nan,nan
210000,263.53,29.15,0.0310,7.7,nan,nan,nan,nan
220000,234.52,68.00,0.0396,9.7,nan,nan,nan,nan
230000,249.28,57.12,0.0244,7.5,nan,nan,nan,nan
240000,248.27,51.83,0.0336,10.4,nan,nan,nan,nan
250000,230.09,65.09,0.0079,3.5,nan,nan,nan,nan
260000,241.43,50.17,0.0285,7.9,nan,nan,nan,nan
270000,252.73,44.00,0.0439,10.8,nan,nan,nan,nan
280000,253.57,39.60,0.0211,6.3,nan,nan,nan,nan
290000,266.56,25.57,0.0250,6.6,nan,nan,nan,nan
300000,251.21,45.79,0.0222,5.6,nan,nan,nan,nan
