timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-19.16,28.82,0.0025,1.3,nan,nan,nan,nan
20000,-14.35,26.92,0.0000,0.0,nan,nan,nan,nan
30000,18.35,17.63,0.0448,22.4,nan,nan,nan,nan
40000,-8.00,46.47,0.0383,18.9,nan,nan,nan,nan
50000,18.83,55.15,0.0058,2.9,nan,nan,nan,nan
60000,24.31,37.51,0.1517,75.9,nan,nan,nan,nan
70000,84.69,86.69,0.0248,11.4,nan,nan,nan,nan
80000,50.37,93.12,0.0219,9.0,nan,nan,nan,nan
90000,53.05,78.35,0.0300,10.0,nan,nan,nan,nan
100000,72.52,122.41,0.0274,9.3,nan,nan,nan,nan
110000,149.58,123.84,0.0220,7.3,nan,nan,nan,nan
120000,186.08,133.25,0.0409,8.9,nan,nan,nan,nan
130000,250.56,85.20,0.0451,11.8,nan,nan,nan,nan
140000,228.60,83.32,0.0389,11.4,nan,nan,nan,nan
150000,145.58,135.08,0.0380,9.9,nan,nan,nan,nan
160000,234.94,105.91,0.0391,9.6,nan,nan,nan,nan
170000,233.58,72.97,0.0285,8.6,nan,nan,nan,nan
180000,265.69,34.79,0.0330,9.4,nan,nan,nan,nan
190000,277.20,21.78,0.0385,9.0,nan,nan,nan,nan
200000,266.92,19.71,0.0319,8.5,nan,nan,nan,nan
210000,275.36,21.00,0.0387,8.8,nan,nan,nan,nan
220000,274.57,27.22,0.0420,8.8,nan,nan,nan,nan
230000,274.21,42.78,0.0399,8.5,nan,nan,nan,nan
240000,253.18,58.02,0.0340,6.7,nan,nan,nan,nan
250000,261.99,43.79,0.0396,8.2,nan,nan,nan,nan
260000,268.74,35.70,0.0457,9.3,nan,nan,nan,nan
270000,273.74,19.38,0.0505,10.1,nan,nan,nan,nan
280000,255.34,65.24,0.0546,11.3,nan,nan,nan,nan
290000,283.78,20.44,0.0608,12.3,nan,nan,nan,nan
300000,274.43,20.40,0.0541,11.6,nan,nan,nan,nan
