method,knob,knob_value,n_runs,zone_visit_rate_mean,zone_visit_rate_std,zone_depth_mean_mean,zone_depth_mean_std,true_return_mean_mean,true_return_mean_std,true_return_std_mean,true_return_std_std,landing_success_rate_mean,landing_success_rate_std,strict_landing_rate_mean,strict_landing_rate_std,crash_rate_mean,crash_rate_std,timeout_rate_mean,timeout_rate_std,episode_len_mean_mean,episode_len_mean_std,wall_clock_train_s_mean,wall_clock_train_s_std,weighted_total
baseline,p,10.0,6,0.25833333333333336,0.031251666622224596,0.01042093125759734,0.0022856103157882068,259.95995329097707,18.580532081361685,44.603624210949,26.762561041137605,0.995,0.010000000000000007,0.9366666666666666,0.050464508980734846,0.021666666666666667,0.04343577634469847,0.041666666666666664,0.028751811537130433,232.54416666666665,30.4613078210156,2479.366666666667,89.45474088424082,0.9354834138476528
lagr,epsilon,0.01,6,0.25333333333333335,0.03204163957519445,0.009533679878078655,0.0020430680884441464,243.62448574072081,69.86198591936636,27.59132299961179,16.43743560010454,0.9791666666666666,0.05103103630798288,0.8441666666666666,0.3622625659196196,0.0008333333333333334,0.0020412414523193153,0.155,0.3602221536774217,277.96750000000003,102.6129913680524,2565.2666666666664,118.73357851369029,0.9040999225107069
baseline,p,2.0,6,0.2725,0.015083103128998349,0.010510977566686898,0.0031692505015363335,238.28513292316543,45.07192149939347,55.8642870207514,32.68743985568775,0.9683333333333334,0.047819103574478126,0.8175,0.23299678109364513,0.025833333333333337,0.03865445209373258,0.15666666666666665,0.20242694155340754,287.38166666666666,86.15419001224878,2392.25,22.509264759205244,0.5913205719156618
baseline,p,30.0,6,0.2891666666666666,0.08725919244794023,0.012478765039543422,0.008268030747304556,201.17981159141004,73.33025942629986,60.84616881790425,39.444212784875056,0.9083333333333333,0.11583033569262705,0.6916666666666668,0.36999549546807553,0.023333333333333334,0.027507574714370344,0.285,0.37087733821305396,337.14500000000004,109.58955543298822,2570.5833333333335,127.08443518648006,0.010000000000000009
