timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-23.01,35.30,0.0122,6.1,nan,nan,nan,nan
20000,-10.37,35.17,0.0386,19.3,nan,nan,nan,nan
30000,14.28,53.99,0.0417,14.1,nan,nan,nan,nan
40000,12.12,57.72,0.0366,6.6,nan,nan,nan,nan
50000,22.64,46.35,0.0132,4.8,nan,nan,nan,nan
60000,31.55,62.78,0.0068,2.4,nan,nan,nan,nan
70000,14.63,28.58,0.0277,13.9,nan,nan,nan,nan
80000,58.13,42.63,0.0167,8.4,nan,nan,nan,nan
90000,63.57,45.56,0.0285,14.3,nan,nan,nan,nan
100000,62.77,40.95,0.0218,10.9,nan,nan,nan,nan
110000,90.36,98.14,0.0211,8.9,nan,nan,nan,nan
120000,97.56,123.03,0.0137,6.0,nan,nan,nan,nan
130000,80.22,57.52,0.0185,8.8,nan,nan,nan,nan
140000,132.10,101.57,0.0218,10.4,nan,nan,nan,nan
150000,116.99,74.97,0.0138,6.7,nan,nan,nan,nan
160000,108.76,88.91,0.0260,12.8,nan,nan,nan,nan
170000,231.84,48.73,0.0098,3.7,nan,nan,nan,nan
180000,214.93,93.98,0.0427,12.7,nan,nan,nan,nan
190000,257.49,45.05,0.0312,7.1,nan,nan,nan,nan
200000,251.19,46.46,0.0535,14.5,nan,nan,nan,nan
210000,262.66,38.66,0.0295,7.3,nan,nan,nan,nan
220000,267.76,19.58,0.0262,6.2,nan,nan,nan,nan
230000,247.53,54.03,0.0217,6.5,nan,nan,nan,nan
240000,269.56,20.81,0.0373,7.8,nan,nan,nan,nan
250000,218.84,111.69,0.0098,2.1,nan,nan,nan,nan
260000,269.58,19.53,0.0407,7.3,nan,nan,nan,nan
270000,257.71,25.05,0.0397,10.2,nan,nan,nan,nan
280000,254.96,66.07,0.0397,7.4,nan,nan,nan,nan
290000,277.30,18.80,0.0291,5.2,nan,nan,nan,nan
300000,259.09,37.86,0.0294,6.0,nan,nan,nan,nan
