timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-1179.98,1.33,0.0000,0.0,0.0000,200.0,100,0
20000,-1012.83,1.21,0.0000,0.0,0.0000,200.0,0,100
30000,-1021.30,0.98,0.0360,7.2,1.0000,88.3,0,100
40000,-369.27,1.67,0.0034,0.7,0.0000,200.0,0,100
50000,-355.93,0.94,0.0001,0.0,0.0000,200.0,0,100
60000,-359.08,1.02,0.0000,0.0,0.0000,200.0,0,100
70000,-356.35,1.04,0.0000,0.0,0.0000,200.0,0,100
80000,-353.08,1.35,0.0050,1.0,0.0000,200.0,0,100
90000,-351.97,1.06,0.0000,0.0,0.0000,200.0,0,100
100000,-349.93,0.89,0.0000,0.0,1.0000,93.9,0,100
110000,-346.83,1.06,0.0000,0.0,1.0000,90.1,0,100
120000,-347.22,0.81,0.0000,0.0,1.0000,81.0,0,100
130000,-346.65,0.99,0.0000,0.0,1.0000,83.5,0,100
140000,-344.20,1.59,0.0000,0.0,1.0000,75.0,0,100
150000,-344.00,1.45,0.0000,0.0,1.0000,74.0,0,100
